"avg_prop_infected","avg_num_infected"
0.0756,75.6
0.3762,376.2
0.4562,456.2
0.4738,473.8
0.4796,479.6
0.4838,483.8
0.4752,475.2
0.4794,479.4
0.476,476
0.4732,473.2
0.483,483
0.4854,485.4
0.4766,476.6
0.4812,481.2
0.4724,472.4
0.474,474
0.4718,471.8
0.4868,486.8
0.4808,480.8
0.4766,476.6
0.4688,468.8
0.4866,486.6
0.4772,477.2
0.4804,480.4
0.4684,468.4
0.484,484
0.4788,478.8
0.4748,474.8
0.4836,483.6
0.4784,478.4
0.4678,467.8
0.4786,478.6
0.4674,467.4
0.4802,480.2
0.4594,459.4
0.4736,473.6
0.481,481
0.4914,491.4
0.4826,482.6
0.4666,466.6
0.4794,479.4
0.4808,480.8
0.479,479
0.487,487
0.4676,467.6
0.4758,475.8
0.4758,475.8
0.4706,470.6
0.4854,485.4
0.477,477
0.4852,485.2
0.4842,484.2
0.473,473
0.4768,476.8
0.4734,473.4
0.4786,478.6
0.4824,482.4
0.4702,470.2
0.4752,475.2
0.4672,467.2
0.4736,473.6
0.4676,467.6
0.4806,480.6
0.4818,481.8
0.4664,466.4
0.4858,485.8
0.4946,494.6
0.4956,495.6
0.4792,479.2
0.4806,480.6
0.483,483
0.4942,494.2
0.485,485
0.4768,476.8
0.475,475
0.4818,481.8
0.4796,479.6
0.4694,469.4
0.469,469
0.4858,485.8
0.4792,479.2
0.4694,469.4
0.4724,472.4
0.4692,469.2
0.4746,474.6
0.4706,470.6
0.471,471
0.4796,479.6
0.4878,487.8
0.4906,490.6
0.4822,482.2
0.4828,482.8
0.4894,489.4
0.4736,473.6
0.4784,478.4
0.4834,483.4
0.4808,480.8
0.478,478
0.4822,482.2
0.4806,480.6
