"avg_prop_infected","avg_num_infected"
0.0702,70.2
0.381,381
0.4594,459.4
0.4668,466.8
0.4728,472.8
0.4802,480.2
0.4766,476.6
0.4784,478.4
0.4692,469.2
0.4692,469.2
0.4854,485.4
0.4874,487.4
0.4642,464.2
0.4736,473.6
0.4886,488.6
0.4764,476.4
0.4742,474.2
0.4724,472.4
0.488,488
0.4856,485.6
0.4872,487.2
0.4692,469.2
0.4802,480.2
0.4768,476.8
0.4698,469.8
0.4776,477.6
0.4716,471.6
0.4802,480.2
0.4922,492.2
0.4816,481.6
0.4888,488.8
0.4692,469.2
0.4784,478.4
0.4796,479.6
0.4734,473.4
0.4672,467.2
0.482,482
0.489,489
0.476,476
0.478,478
0.4738,473.8
0.4824,482.4
0.47,470
0.4706,470.6
0.486,486
0.4778,477.8
0.479,479
0.4838,483.8
0.4828,482.8
0.4696,469.6
0.4738,473.8
0.4834,483.4
0.4788,478.8
0.4768,476.8
0.4766,476.6
0.4646,464.6
0.4722,472.2
0.4874,487.4
0.4736,473.6
0.4864,486.4
0.474,474
0.4616,461.6
0.4678,467.8
0.4852,485.2
0.482,482
0.4932,493.2
0.4782,478.2
0.4746,474.6
0.4694,469.4
0.471,471
0.48,480
0.492,492
0.4876,487.6
0.4828,482.8
0.4768,476.8
0.4648,464.8
0.479,479
0.4876,487.6
0.4808,480.8
0.4654,465.4
0.4736,473.6
0.479,479
0.4736,473.6
0.4782,478.2
0.4794,479.4
0.4784,478.4
0.4824,482.4
0.4898,489.8
0.4838,483.8
0.4796,479.6
0.4796,479.6
0.4972,497.2
0.4872,487.2
0.4884,488.4
0.4924,492.4
0.4744,474.4
0.479,479
0.4638,463.8
0.4776,477.6
0.4738,473.8
