"avg_prop_infected","avg_num_infected"
0.189,189
0.4028,402.8
0.4546,454.6
0.4828,482.8
0.4634,463.4
0.477,477
0.479,479
0.4858,485.8
0.478,478
0.479,479
0.4944,494.4
0.4972,497.2
0.4764,476.4
0.476,476
0.4614,461.4
0.4744,474.4
0.475,475
0.4762,476.2
0.4716,471.6
0.4734,473.4
0.4722,472.2
0.4814,481.4
0.4762,476.2
0.4904,490.4
0.4836,483.6
0.4794,479.4
0.4758,475.8
0.4772,477.2
0.487,487
0.4816,481.6
0.4764,476.4
0.4824,482.4
0.4782,478.2
0.4824,482.4
0.4782,478.2
0.4788,478.8
0.474,474
0.471,471
0.4856,485.6
0.47,470
0.4686,468.6
0.4658,465.8
0.4672,467.2
0.4832,483.2
0.4732,473.2
0.4812,481.2
0.4796,479.6
0.4712,471.2
0.4778,477.8
0.471,471
0.4746,474.6
0.4646,464.6
0.4792,479.2
0.4758,475.8
0.4786,478.6
0.4772,477.2
0.4708,470.8
0.4766,476.6
0.475,475
0.4802,480.2
0.4688,468.8
0.484,484
0.475,475
0.4814,481.4
0.4876,487.6
0.4878,487.8
0.4806,480.6
0.4642,464.2
0.4882,488.2
0.4722,472.2
0.4764,476.4
0.479,479
0.4756,475.6
0.4734,473.4
0.4862,486.2
0.487,487
0.4788,478.8
0.4824,482.4
0.476,476
0.4634,463.4
0.4852,485.2
0.4788,478.8
0.4876,487.6
0.4862,486.2
0.4808,480.8
0.47,470
0.4892,489.2
0.4734,473.4
0.4746,474.6
0.471,471
0.4716,471.6
0.4684,468.4
0.4666,466.6
0.478,478
0.4716,471.6
0.4618,461.8
0.4742,474.2
0.4788,478.8
0.4776,477.6
0.4636,463.6
