"avg_prop_infected","avg_num_infected"
0.0662,66.2
0.3728,372.8
0.457,457
0.468,468
0.4748,474.8
0.4852,485.2
0.4814,481.4
0.4924,492.4
0.4882,488.2
0.4782,478.2
0.473,473
0.4644,464.4
0.4698,469.8
0.4798,479.8
0.4768,476.8
0.474,474
0.48,480
0.4786,478.6
0.4772,477.2
0.4722,472.2
0.4756,475.6
0.4774,477.4
0.482,482
0.4818,481.8
0.4796,479.6
0.468,468
0.47,470
0.4742,474.2
0.488,488
0.477,477
0.4786,478.6
0.4806,480.6
0.4716,471.6
0.4644,464.4
0.4744,474.4
0.4732,473.2
0.4756,475.6
0.4774,477.4
0.4774,477.4
0.4868,486.8
0.4838,483.8
0.4742,474.2
0.4784,478.4
0.4656,465.6
0.462,462
0.4774,477.4
0.4788,478.8
0.48,480
0.482,482
0.4728,472.8
0.4716,471.6
0.472,472
0.4736,473.6
0.4628,462.8
0.4626,462.6
0.4792,479.2
0.4762,476.2
0.4694,469.4
0.4744,474.4
0.4816,481.6
0.4756,475.6
0.4818,481.8
0.472,472
0.486,486
0.4748,474.8
0.4672,467.2
0.4858,485.8
0.4752,475.2
0.4812,481.2
0.477,477
0.476,476
0.4626,462.6
0.478,478
0.4774,477.4
0.467,467
0.4798,479.8
0.483,483
0.4742,474.2
0.467,467
0.481,481
0.4848,484.8
0.4744,474.4
0.4822,482.2
0.4762,476.2
0.484,484
0.4748,474.8
0.4878,487.8
0.4932,493.2
0.4856,485.6
0.4958,495.8
0.4826,482.6
0.4758,475.8
0.4786,478.6
0.477,477
0.4714,471.4
0.4764,476.4
0.4736,473.6
0.4822,482.2
0.4816,481.6
0.4726,472.6
