"avg_prop_infected","avg_num_infected"
0.07,70
0.3692,369.2
0.4514,451.4
0.4614,461.4
0.4782,478.2
0.4796,479.6
0.484,484
0.467,467
0.4672,467.2
0.463,463
0.4638,463.8
0.4822,482.2
0.4784,478.4
0.4708,470.8
0.4724,472.4
0.477,477
0.4896,489.6
0.4862,486.2
0.4786,478.6
0.4788,478.8
0.4834,483.4
0.478,478
0.474,474
0.475,475
0.4782,478.2
0.4686,468.6
0.4726,472.6
0.4882,488.2
0.4704,470.4
0.478,478
0.4726,472.6
0.4802,480.2
0.492,492
0.478,478
0.4736,473.6
0.483,483
0.4756,475.6
0.4712,471.2
0.4792,479.2
0.4714,471.4
0.4794,479.4
0.4728,472.8
0.4766,476.6
0.4764,476.4
0.4774,477.4
0.482,482
0.4786,478.6
0.4844,484.4
0.4818,481.8
0.4758,475.8
0.474,474
0.4712,471.2
0.4756,475.6
0.491,491
0.4798,479.8
0.4834,483.4
0.4818,481.8
0.4866,486.6
0.471,471
0.4774,477.4
0.4744,474.4
0.4796,479.6
0.4746,474.6
0.465,465
0.4732,473.2
0.4796,479.6
0.468,468
0.4754,475.4
0.488,488
0.492,492
0.4764,476.4
0.474,474
0.468,468
0.4802,480.2
0.4608,460.8
0.469,469
0.4656,465.6
0.467,467
0.4784,478.4
0.4712,471.2
0.4752,475.2
0.4818,481.8
0.4746,474.6
0.4742,474.2
0.4712,471.2
0.4714,471.4
0.4812,481.2
0.4788,478.8
0.4706,470.6
0.4686,468.6
0.4788,478.8
0.4856,485.6
0.4806,480.6
0.486,486
0.4884,488.4
0.4776,477.6
0.4798,479.8
0.4854,485.4
0.4842,484.2
0.4598,459.8
