"avg_prop_infected","avg_num_infected"
0.208,208
0.4252,425.2
0.4538,453.8
0.4784,478.4
0.48,480
0.479,479
0.4816,481.6
0.4846,484.6
0.4708,470.8
0.478,478
0.4644,464.4
0.471,471
0.4688,468.8
0.472,472
0.467,467
0.4744,474.4
0.4694,469.4
0.491,491
0.4802,480.2
0.4722,472.2
0.4786,478.6
0.4764,476.4
0.4798,479.8
0.4698,469.8
0.4786,478.6
0.4836,483.6
0.4734,473.4
0.4744,474.4
0.4666,466.6
0.4766,476.6
0.4818,481.8
0.4732,473.2
0.4784,478.4
0.4792,479.2
0.4814,481.4
0.4862,486.2
0.4922,492.2
0.4682,468.2
0.4788,478.8
0.4812,481.2
0.477,477
0.4764,476.4
0.466,466
0.4778,477.8
0.475,475
0.4824,482.4
0.4788,478.8
0.47,470
0.481,481
0.4878,487.8
0.4836,483.6
0.474,474
0.4718,471.8
0.4824,482.4
0.4772,477.2
0.4928,492.8
0.4842,484.2
0.484,484
0.4758,475.8
0.4796,479.6
0.4798,479.8
0.4806,480.6
0.4692,469.2
0.4698,469.8
0.4776,477.6
0.4818,481.8
0.4714,471.4
0.4836,483.6
0.4806,480.6
0.4792,479.2
0.4796,479.6
0.4624,462.4
0.4642,464.2
0.4802,480.2
0.4736,473.6
0.483,483
0.4886,488.6
0.4814,481.4
0.4878,487.8
0.4876,487.6
0.4788,478.8
0.4724,472.4
0.4694,469.4
0.4722,472.2
0.4834,483.4
0.4772,477.2
0.4782,478.2
0.4878,487.8
0.492,492
0.4866,486.6
0.4796,479.6
0.4774,477.4
0.4854,485.4
0.4712,471.2
0.4828,482.8
0.4628,462.8
0.4686,468.6
0.4682,468.2
0.4732,473.2
0.4716,471.6
