"avg_prop_infected","avg_num_infected"
0.3162,316.2
0.4476,447.6
0.5174,517.4
0.5456,545.6
0.5686,568.6
0.5764,576.4
0.5782,578.2
0.5896,589.6
0.5852,585.2
0.5872,587.2
0.5842,584.2
0.5954,595.4
0.5994,599.4
0.5928,592.8
0.5932,593.2
0.5888,588.8
0.587,587
0.5906,590.6
0.591,591
0.5838,583.8
0.5952,595.2
0.5942,594.2
0.5838,583.8
0.586,586
0.5816,581.6
0.5852,585.2
0.5886,588.6
0.5942,594.2
0.5966,596.6
0.5972,597.2
0.5904,590.4
0.5934,593.4
0.5988,598.8
0.5986,598.6
0.6032,603.2
0.6006,600.6
0.5974,597.4
0.5896,589.6
0.5978,597.8
0.5958,595.8
0.6012,601.2
0.593,593
0.5874,587.4
0.5858,585.8
0.597,597
0.5946,594.6
0.6028,602.8
0.6006,600.6
0.6052,605.2
0.5994,599.4
0.6004,600.4
0.5954,595.4
0.5962,596.2
0.5904,590.4
0.5832,583.2
0.59,590
0.5978,597.8
0.5952,595.2
0.5912,591.2
0.5878,587.8
0.5932,593.2
0.5972,597.2
0.592,592
0.592,592
0.5926,592.6
0.5922,592.2
0.5966,596.6
0.5922,592.2
0.587,587
0.5956,595.6
0.5948,594.8
0.5994,599.4
0.599,599
0.5932,593.2
0.593,593
0.5966,596.6
0.593,593
0.6026,602.6
0.599,599
0.5936,593.6
0.6006,600.6
0.5854,585.4
0.6008,600.8
0.6002,600.2
0.598,598
0.5912,591.2
0.5894,589.4
0.59,590
0.5836,583.6
0.5898,589.8
0.5928,592.8
0.5978,597.8
0.5954,595.4
0.5976,597.6
0.6064,606.4
0.5998,599.8
0.5852,585.2
0.5924,592.4
0.5884,588.4
0.5914,591.4
