"avg_prop_infected","avg_num_infected"
0.3136,313.6
0.4308,430.8
0.4976,497.6
0.5334,533.4
0.557,557
0.5606,560.6
0.5782,578.2
0.5864,586.4
0.5888,588.8
0.5896,589.6
0.5902,590.2
0.601,601
0.589,589
0.5846,584.6
0.5934,593.4
0.5972,597.2
0.5874,587.4
0.5898,589.8
0.5906,590.6
0.6006,600.6
0.5904,590.4
0.5938,593.8
0.5916,591.6
0.5794,579.4
0.5836,583.6
0.587,587
0.5898,589.8
0.5896,589.6
0.5882,588.2
0.5912,591.2
0.594,594
0.595,595
0.596,596
0.5972,597.2
0.5922,592.2
0.5816,581.6
0.5904,590.4
0.595,595
0.5818,581.8
0.5852,585.2
0.584,584
0.5924,592.4
0.595,595
0.5772,577.2
0.5944,594.4
0.594,594
0.5842,584.2
0.5968,596.8
0.5976,597.6
0.5902,590.2
0.5936,593.6
0.5786,578.6
0.5806,580.6
0.5886,588.6
0.594,594
0.5954,595.4
0.5964,596.4
0.5884,588.4
0.5936,593.6
0.5856,585.6
0.589,589
0.5894,589.4
0.5878,587.8
0.5836,583.6
0.586,586
0.5986,598.6
0.5948,594.8
0.5908,590.8
0.5844,584.4
0.586,586
0.5884,588.4
0.5902,590.2
0.601,601
0.6002,600.2
0.5884,588.4
0.5944,594.4
0.594,594
0.5864,586.4
0.5878,587.8
0.5964,596.4
0.5984,598.4
0.5906,590.6
0.592,592
0.5882,588.2
0.5848,584.8
0.5908,590.8
0.5934,593.4
0.5802,580.2
0.6012,601.2
0.5988,598.8
0.5954,595.4
0.5932,593.2
0.5978,597.8
0.6004,600.4
0.5902,590.2
0.5946,594.6
0.6018,601.8
0.5936,593.6
0.5936,593.6
0.5902,590.2
