"avg_prop_infected","avg_num_infected"
0.4758,475.8
0.5328,532.8
0.562,562
0.5824,582.4
0.587,587
0.5962,596.2
0.5986,598.6
0.5928,592.8
0.594,594
0.6012,601.2
0.603,603
0.5956,595.6
0.5942,594.2
0.5984,598.4
0.5924,592.4
0.6056,605.6
0.5938,593.8
0.591,591
0.5982,598.2
0.6012,601.2
0.6032,603.2
0.6014,601.4
0.6026,602.6
0.591,591
0.5964,596.4
0.594,594
0.5954,595.4
0.5972,597.2
0.5872,587.2
0.5906,590.6
0.5912,591.2
0.5954,595.4
0.5968,596.8
0.5964,596.4
0.605,605
0.5978,597.8
0.5908,590.8
0.5922,592.2
0.6004,600.4
0.5944,594.4
0.6026,602.6
0.6044,604.4
0.5914,591.4
0.5952,595.2
0.5888,588.8
0.5906,590.6
0.588,588
0.5822,582.2
0.591,591
0.5966,596.6
0.591,591
0.5902,590.2
0.59,590
0.5882,588.2
0.5866,586.6
0.5936,593.6
0.5832,583.2
0.5946,594.6
0.597,597
0.598,598
0.592,592
0.5924,592.4
0.5882,588.2
0.5948,594.8
0.5866,586.6
0.5864,586.4
0.598,598
0.5856,585.6
0.5974,597.4
0.5886,588.6
0.5898,589.8
0.5886,588.6
0.583,583
0.5824,582.4
0.5974,597.4
0.598,598
0.5936,593.6
0.5868,586.8
0.591,591
0.5924,592.4
0.5996,599.6
0.5928,592.8
0.5924,592.4
0.5898,589.8
0.591,591
0.5814,581.4
0.5894,589.4
0.5904,590.4
0.5926,592.6
0.583,583
0.5754,575.4
0.5824,582.4
0.5842,584.2
0.5932,593.2
0.594,594
0.589,589
0.5864,586.4
0.5964,596.4
0.5934,593.4
0.5898,589.8
