"avg_prop_infected","avg_num_infected"
0.317,317
0.443,443
0.5072,507.2
0.5476,547.6
0.5664,566.4
0.5736,573.6
0.5874,587.4
0.5912,591.2
0.5882,588.2
0.5866,586.6
0.5924,592.4
0.5842,584.2
0.5898,589.8
0.5896,589.6
0.6006,600.6
0.6016,601.6
0.5962,596.2
0.5946,594.6
0.6002,600.2
0.592,592
0.595,595
0.5958,595.8
0.5896,589.6
0.595,595
0.6004,600.4
0.5982,598.2
0.5932,593.2
0.592,592
0.5938,593.8
0.593,593
0.6016,601.6
0.5956,595.6
0.5912,591.2
0.5834,583.4
0.5964,596.4
0.5912,591.2
0.5952,595.2
0.593,593
0.5926,592.6
0.5874,587.4
0.5844,584.4
0.6046,604.6
0.5974,597.4
0.5932,593.2
0.597,597
0.5886,588.6
0.5902,590.2
0.5934,593.4
0.5862,586.2
0.5832,583.2
0.5976,597.6
0.59,590
0.5878,587.8
0.5894,589.4
0.6002,600.2
0.5964,596.4
0.5912,591.2
0.5854,585.4
0.59,590
0.5886,588.6
0.5884,588.4
0.5968,596.8
0.5966,596.6
0.5882,588.2
0.592,592
0.585,585
0.586,586
0.5806,580.6
0.5788,578.8
0.5822,582.2
0.591,591
0.5956,595.6
0.5926,592.6
0.5966,596.6
0.5976,597.6
0.5958,595.8
0.5928,592.8
0.593,593
0.59,590
0.6014,601.4
0.6008,600.8
0.5916,591.6
0.6,600
0.584,584
0.5996,599.6
0.5936,593.6
0.59,590
0.586,586
0.5908,590.8
0.5948,594.8
0.5982,598.2
0.5914,591.4
0.5942,594.2
0.5926,592.6
0.5926,592.6
0.5932,593.2
0.5938,593.8
0.5892,589.2
0.5892,589.2
0.594,594
