"avg_prop_infected","avg_num_infected"
0.3172,317.2
0.438,438
0.517,517
0.5438,543.8
0.5624,562.4
0.579,579
0.5862,586.2
0.5884,588.4
0.5986,598.6
0.5912,591.2
0.583,583
0.5888,588.8
0.5876,587.6
0.5816,581.6
0.584,584
0.5902,590.2
0.5874,587.4
0.587,587
0.5936,593.6
0.5838,583.8
0.5896,589.6
0.6006,600.6
0.593,593
0.5938,593.8
0.593,593
0.5956,595.6
0.5842,584.2
0.5832,583.2
0.5918,591.8
0.5968,596.8
0.5906,590.6
0.6024,602.4
0.599,599
0.6038,603.8
0.5994,599.4
0.5842,584.2
0.5888,588.8
0.5872,587.2
0.595,595
0.5958,595.8
0.593,593
0.5992,599.2
0.6,600
0.5964,596.4
0.5922,592.2
0.591,591
0.5874,587.4
0.583,583
0.5908,590.8
0.5884,588.4
0.5912,591.2
0.5908,590.8
0.5832,583.2
0.5892,589.2
0.5862,586.2
0.5962,596.2
0.5954,595.4
0.5976,597.6
0.5928,592.8
0.61,610
0.597,597
0.5958,595.8
0.5994,599.4
0.593,593
0.5866,586.6
0.5952,595.2
0.5924,592.4
0.5962,596.2
0.5832,583.2
0.5936,593.6
0.5986,598.6
0.5914,591.4
0.5968,596.8
0.5916,591.6
0.5938,593.8
0.5948,594.8
0.5894,589.4
0.59,590
0.6022,602.2
0.6048,604.8
0.5936,593.6
0.5928,592.8
0.5894,589.4
0.5948,594.8
0.5826,582.6
0.5914,591.4
0.5984,598.4
0.6004,600.4
0.5948,594.8
0.5944,594.4
0.5964,596.4
0.594,594
0.5872,587.2
0.5934,593.4
0.5954,595.4
0.5906,590.6
0.5864,586.4
0.5922,592.2
0.5954,595.4
0.5974,597.4
