"avg_prop_infected","avg_num_infected"
0.458,458
0.514,514
0.5584,558.4
0.5726,572.6
0.5918,591.8
0.5916,591.6
0.5974,597.4
0.5996,599.6
0.5984,598.4
0.5928,592.8
0.5914,591.4
0.5944,594.4
0.5964,596.4
0.5916,591.6
0.59,590
0.594,594
0.589,589
0.5888,588.8
0.5928,592.8
0.5932,593.2
0.5978,597.8
0.5956,595.6
0.5844,584.4
0.5936,593.6
0.595,595
0.5956,595.6
0.5904,590.4
0.5958,595.8
0.5952,595.2
0.5972,597.2
0.5944,594.4
0.592,592
0.5924,592.4
0.5954,595.4
0.5894,589.4
0.5894,589.4
0.5916,591.6
0.596,596
0.5968,596.8
0.5886,588.6
0.5914,591.4
0.59,590
0.591,591
0.5914,591.4
0.5884,588.4
0.5968,596.8
0.5998,599.8
0.5922,592.2
0.591,591
0.5892,589.2
0.5902,590.2
0.586,586
0.5864,586.4
0.5896,589.6
0.5876,587.6
0.5984,598.4
0.5978,597.8
0.598,598
0.5942,594.2
0.5988,598.8
0.6014,601.4
0.5952,595.2
0.5944,594.4
0.5922,592.2
0.5916,591.6
0.5894,589.4
0.591,591
0.5888,588.8
0.5996,599.6
0.5894,589.4
0.5928,592.8
0.5996,599.6
0.5928,592.8
0.595,595
0.5844,584.4
0.5952,595.2
0.5896,589.6
0.5878,587.8
0.597,597
0.589,589
0.5852,585.2
0.5982,598.2
0.596,596
0.5966,596.6
0.5918,591.8
0.5922,592.2
0.5942,594.2
0.5902,590.2
0.5942,594.2
0.5972,597.2
0.5968,596.8
0.5948,594.8
0.5992,599.2
0.59,590
0.588,588
0.5864,586.4
0.5854,585.4
0.5946,594.6
0.5854,585.4
0.5854,585.4
