"avg_prop_infected","avg_num_infected"
0.4556,455.6
0.5364,536.4
0.5686,568.6
0.584,584
0.59,590
0.5916,591.6
0.6066,606.6
0.604,604
0.6098,609.8
0.5994,599.4
0.5926,592.6
0.5982,598.2
0.5926,592.6
0.6006,600.6
0.5928,592.8
0.5996,599.6
0.5924,592.4
0.5962,596.2
0.597,597
0.5894,589.4
0.5832,583.2
0.5946,594.6
0.596,596
0.5932,593.2
0.597,597
0.5966,596.6
0.5986,598.6
0.5922,592.2
0.5914,591.4
0.6004,600.4
0.5954,595.4
0.5872,587.2
0.588,588
0.5946,594.6
0.5946,594.6
0.5978,597.8
0.6024,602.4
0.6032,603.2
0.6032,603.2
0.6046,604.6
0.5928,592.8
0.5984,598.4
0.5898,589.8
0.5924,592.4
0.5916,591.6
0.5928,592.8
0.5996,599.6
0.5928,592.8
0.5942,594.2
0.5948,594.8
0.5974,597.4
0.5972,597.2
0.5948,594.8
0.6002,600.2
0.6028,602.8
0.601,601
0.5858,585.8
0.5912,591.2
0.5918,591.8
0.5894,589.4
0.5926,592.6
0.5862,586.2
0.5914,591.4
0.5872,587.2
0.5916,591.6
0.5896,589.6
0.5944,594.4
0.5952,595.2
0.5982,598.2
0.5966,596.6
0.5786,578.6
0.5918,591.8
0.5898,589.8
0.5838,583.8
0.5878,587.8
0.5766,576.6
0.5854,585.4
0.5924,592.4
0.5884,588.4
0.5902,590.2
0.5938,593.8
0.5986,598.6
0.5864,586.4
0.5936,593.6
0.5884,588.4
0.5918,591.8
0.5948,594.8
0.6002,600.2
0.5856,585.6
0.5938,593.8
0.5892,589.2
0.5826,582.6
0.5894,589.4
0.5904,590.4
0.5892,589.2
0.5916,591.6
0.5904,590.4
0.5912,591.2
0.5952,595.2
0.5944,594.4
