"avg_prop_infected","avg_num_infected"
0.3138,313.8
0.4482,448.2
0.5214,521.4
0.5548,554.8
0.5758,575.8
0.577,577
0.5802,580.2
0.5856,585.6
0.596,596
0.5934,593.4
0.5914,591.4
0.5934,593.4
0.5898,589.8
0.5916,591.6
0.6,600
0.5934,593.4
0.5998,599.8
0.5958,595.8
0.5976,597.6
0.5954,595.4
0.5928,592.8
0.5978,597.8
0.592,592
0.599,599
0.5992,599.2
0.5942,594.2
0.603,603
0.6006,600.6
0.5894,589.4
0.596,596
0.5944,594.4
0.5984,598.4
0.5956,595.6
0.593,593
0.5984,598.4
0.591,591
0.5946,594.6
0.5912,591.2
0.5992,599.2
0.5908,590.8
0.5988,598.8
0.5948,594.8
0.5878,587.8
0.5946,594.6
0.5926,592.6
0.5936,593.6
0.5972,597.2
0.6004,600.4
0.6026,602.6
0.6038,603.8
0.596,596
0.5936,593.6
0.605,605
0.598,598
0.5876,587.6
0.5878,587.8
0.592,592
0.5824,582.4
0.5974,597.4
0.6016,601.6
0.596,596
0.5918,591.8
0.5938,593.8
0.602,602
0.5972,597.2
0.5948,594.8
0.5978,597.8
0.5968,596.8
0.5936,593.6
0.5948,594.8
0.5924,592.4
0.5976,597.6
0.5984,598.4
0.6014,601.4
0.5982,598.2
0.5974,597.4
0.5866,586.6
0.5934,593.4
0.5944,594.4
0.5948,594.8
0.5896,589.6
0.5864,586.4
0.5902,590.2
0.594,594
0.5976,597.6
0.5924,592.4
0.5948,594.8
0.5916,591.6
0.5916,591.6
0.5882,588.2
0.589,589
0.5908,590.8
0.5872,587.2
0.5924,592.4
0.5966,596.6
0.5986,598.6
0.589,589
0.5952,595.2
0.5856,585.6
0.5906,590.6
