"avg_prop_infected","avg_num_infected"
0.3226,322.6
0.4444,444.4
0.5164,516.4
0.546,546
0.5666,566.6
0.5746,574.6
0.5852,585.2
0.5874,587.4
0.5894,589.4
0.5944,594.4
0.6002,600.2
0.6028,602.8
0.5974,597.4
0.589,589
0.5826,582.6
0.601,601
0.5944,594.4
0.5986,598.6
0.5984,598.4
0.601,601
0.591,591
0.5948,594.8
0.593,593
0.593,593
0.592,592
0.5914,591.4
0.596,596
0.5906,590.6
0.5958,595.8
0.591,591
0.5926,592.6
0.6006,600.6
0.5864,586.4
0.5868,586.8
0.6026,602.6
0.5956,595.6
0.5932,593.2
0.5894,589.4
0.587,587
0.587,587
0.5984,598.4
0.601,601
0.5944,594.4
0.5888,588.8
0.5996,599.6
0.5968,596.8
0.5888,588.8
0.5914,591.4
0.5934,593.4
0.5946,594.6
0.5954,595.4
0.5872,587.2
0.592,592
0.5936,593.6
0.5946,594.6
0.5998,599.8
0.601,601
0.5952,595.2
0.5942,594.2
0.5954,595.4
0.5934,593.4
0.5908,590.8
0.5992,599.2
0.6012,601.2
0.5958,595.8
0.5986,598.6
0.5964,596.4
0.5958,595.8
0.5908,590.8
0.5858,585.8
0.5978,597.8
0.5956,595.6
0.5936,593.6
0.602,602
0.6076,607.6
0.5952,595.2
0.593,593
0.5952,595.2
0.6006,600.6
0.5954,595.4
0.5928,592.8
0.59,590
0.5894,589.4
0.5928,592.8
0.5946,594.6
0.593,593
0.5926,592.6
0.5936,593.6
0.5896,589.6
0.5906,590.6
0.596,596
0.595,595
0.5836,583.6
0.5984,598.4
0.5956,595.6
0.5956,595.6
0.5986,598.6
0.5968,596.8
0.5962,596.2
0.5966,596.6
