"avg_prop_infected","avg_num_infected"
0.2976,297.6
0.4184,418.4
0.5024,502.4
0.5398,539.8
0.5666,566.6
0.5772,577.2
0.5806,580.6
0.586,586
0.579,579
0.5882,588.2
0.5896,589.6
0.5958,595.8
0.5902,590.2
0.5818,581.8
0.5916,591.6
0.5914,591.4
0.5906,590.6
0.5982,598.2
0.5924,592.4
0.5896,589.6
0.5896,589.6
0.595,595
0.5944,594.4
0.59,590
0.5866,586.6
0.5912,591.2
0.5916,591.6
0.6026,602.6
0.5946,594.6
0.587,587
0.594,594
0.5882,588.2
0.588,588
0.591,591
0.5886,588.6
0.5914,591.4
0.596,596
0.6,600
0.5874,587.4
0.595,595
0.5836,583.6
0.597,597
0.5888,588.8
0.582,582
0.5826,582.6
0.589,589
0.5882,588.2
0.5932,593.2
0.5902,590.2
0.5918,591.8
0.594,594
0.5842,584.2
0.5982,598.2
0.595,595
0.5918,591.8
0.5984,598.4
0.5914,591.4
0.5924,592.4
0.589,589
0.5852,585.2
0.5918,591.8
0.5912,591.2
0.5916,591.6
0.5952,595.2
0.5924,592.4
0.5872,587.2
0.5952,595.2
0.5872,587.2
0.5824,582.4
0.5988,598.8
0.5884,588.4
0.5874,587.4
0.578,578
0.5884,588.4
0.583,583
0.5948,594.8
0.592,592
0.5884,588.4
0.588,588
0.5936,593.6
0.5886,588.6
0.583,583
0.594,594
0.597,597
0.5934,593.4
0.5876,587.6
0.5932,593.2
0.588,588
0.6018,601.8
0.5902,590.2
0.5992,599.2
0.601,601
0.593,593
0.5838,583.8
0.5992,599.2
0.5958,595.8
0.5858,585.8
0.5916,591.6
0.5904,590.4
0.5978,597.8
