"avg_prop_infected","avg_num_infected"
0.3332,333.2
0.4492,449.2
0.5148,514.8
0.5558,555.8
0.5606,560.6
0.5884,588.4
0.5858,585.8
0.5928,592.8
0.59,590
0.5918,591.8
0.5974,597.4
0.597,597
0.601,601
0.5986,598.6
0.6014,601.4
0.6032,603.2
0.6004,600.4
0.5898,589.8
0.5974,597.4
0.5934,593.4
0.5892,589.2
0.5936,593.6
0.5954,595.4
0.5912,591.2
0.5974,597.4
0.5936,593.6
0.5914,591.4
0.597,597
0.5958,595.8
0.6016,601.6
0.5906,590.6
0.5904,590.4
0.5926,592.6
0.6008,600.8
0.5906,590.6
0.5908,590.8
0.5904,590.4
0.5966,596.6
0.6014,601.4
0.5942,594.2
0.6004,600.4
0.597,597
0.5854,585.4
0.601,601
0.5946,594.6
0.5878,587.8
0.5896,589.6
0.5876,587.6
0.5912,591.2
0.596,596
0.6036,603.6
0.594,594
0.5984,598.4
0.589,589
0.5928,592.8
0.5978,597.8
0.5872,587.2
0.5924,592.4
0.5876,587.6
0.5776,577.6
0.5866,586.6
0.5858,585.8
0.5852,585.2
0.59,590
0.5842,584.2
0.5956,595.6
0.5956,595.6
0.5874,587.4
0.5948,594.8
0.5876,587.6
0.6,600
0.5984,598.4
0.5918,591.8
0.598,598
0.5984,598.4
0.592,592
0.598,598
0.5916,591.6
0.5896,589.6
0.5876,587.6
0.5912,591.2
0.5954,595.4
0.5948,594.8
0.5822,582.2
0.589,589
0.5896,589.6
0.5942,594.2
0.5984,598.4
0.5794,579.4
0.584,584
0.5908,590.8
0.5928,592.8
0.5898,589.8
0.5912,591.2
0.5848,584.8
0.5852,585.2
0.5836,583.6
0.5868,586.8
0.5982,598.2
0.5946,594.6
