"avg_prop_infected","avg_num_infected"
0.2834,283.4
0.3512,351.2
0.4172,417.2
0.4704,470.4
0.5196,519.6
0.5444,544.4
0.576,576
0.5976,597.6
0.6088,608.8
0.6334,633.4
0.6406,640.6
0.652,652
0.6792,679.2
0.687,687
0.6978,697.8
0.6912,691.2
0.7056,705.6
0.7066,706.6
0.7092,709.2
0.7078,707.8
0.7128,712.8
0.721,721
0.7238,723.8
0.7184,718.4
0.7186,718.6
0.733,733
0.726,726
0.722,722
0.727,727
0.7328,732.8
0.7278,727.8
0.7336,733.6
0.7332,733.2
0.7254,725.4
0.7216,721.6
0.736,736
0.7438,743.8
0.7386,738.6
0.7356,735.6
0.7378,737.8
0.7322,732.2
0.7394,739.4
0.7324,732.4
0.7288,728.8
0.7206,720.6
0.7304,730.4
0.7318,731.8
0.7368,736.8
0.7386,738.6
0.735,735
0.7466,746.6
0.7384,738.4
0.7264,726.4
0.7236,723.6
0.7266,726.6
0.7232,723.2
0.7362,736.2
0.7312,731.2
0.7308,730.8
0.7294,729.4
0.7378,737.8
0.7262,726.2
0.73,730
0.7338,733.8
0.7334,733.4
0.7358,735.8
0.7334,733.4
0.724,724
0.7216,721.6
0.7214,721.4
0.7276,727.6
0.7378,737.8
0.731,731
0.7282,728.2
0.7252,725.2
0.7256,725.6
0.7328,732.8
0.727,727
0.7192,719.2
0.719,719
0.7184,718.4
0.7282,728.2
0.7238,723.8
0.7306,730.6
0.7238,723.8
0.7222,722.2
0.7206,720.6
0.7306,730.6
0.7206,720.6
0.7252,725.2
0.7298,729.8
0.7304,730.4
0.7262,726.2
0.7344,734.4
0.7304,730.4
0.7276,727.6
0.715,715
0.7144,714.4
0.7186,718.6
0.7286,728.6
