"avg_prop_infected","avg_num_infected"
0.4,400
0.4538,453.8
0.5062,506.2
0.5516,551.6
0.6092,609.2
0.6224,622.4
0.6432,643.2
0.6576,657.6
0.6666,666.6
0.6864,686.4
0.69,690
0.6914,691.4
0.6984,698.4
0.7112,711.2
0.7064,706.4
0.7148,714.8
0.7108,710.8
0.713,713
0.7146,714.6
0.7132,713.2
0.724,724
0.7226,722.6
0.7264,726.4
0.7116,711.6
0.713,713
0.7272,727.2
0.7258,725.8
0.715,715
0.7184,718.4
0.722,722
0.7224,722.4
0.7256,725.6
0.725,725
0.7158,715.8
0.7222,722.2
0.73,730
0.7218,721.8
0.7284,728.4
0.7196,719.6
0.7152,715.2
0.7218,721.8
0.7202,720.2
0.7226,722.6
0.7172,717.2
0.7024,702.4
0.7132,713.2
0.7276,727.6
0.7182,718.2
0.7134,713.4
0.709,709
0.7142,714.2
0.717,717
0.7158,715.8
0.7174,717.4
0.7098,709.8
0.7212,721.2
0.7136,713.6
0.7138,713.8
0.7128,712.8
0.7132,713.2
0.7118,711.8
0.7108,710.8
0.708,708
0.715,715
0.7226,722.6
0.7286,728.6
0.716,716
0.7232,723.2
0.7206,720.6
0.7108,710.8
0.7202,720.2
0.7264,726.4
0.7252,725.2
0.7258,725.8
0.7246,724.6
0.724,724
0.7278,727.8
0.7234,723.4
0.7238,723.8
0.7284,728.4
0.7222,722.2
0.732,732
0.7452,745.2
0.7384,738.4
0.7232,723.2
0.733,733
0.727,727
0.72,720
0.719,719
0.7236,723.6
0.7102,710.2
0.726,726
0.7106,710.6
0.7268,726.8
0.722,722
0.7188,718.8
0.7216,721.6
0.7352,735.2
0.717,717
0.7226,722.6
