"avg_prop_infected","avg_num_infected"
0.3956,395.6
0.456,456
0.5092,509.2
0.5466,546.6
0.5732,573.2
0.602,602
0.618,618
0.6522,652.2
0.6698,669.8
0.6764,676.4
0.6912,691.2
0.6974,697.4
0.7062,706.2
0.6998,699.8
0.6962,696.2
0.7162,716.2
0.7132,713.2
0.7166,716.6
0.724,724
0.7246,724.6
0.7216,721.6
0.7234,723.4
0.7252,725.2
0.716,716
0.7216,721.6
0.7296,729.6
0.7314,731.4
0.728,728
0.7408,740.8
0.7306,730.6
0.7324,732.4
0.7322,732.2
0.7288,728.8
0.7252,725.2
0.7214,721.4
0.7296,729.6
0.7276,727.6
0.7304,730.4
0.7314,731.4
0.7382,738.2
0.7338,733.8
0.7342,734.2
0.7234,723.4
0.7218,721.8
0.7222,722.2
0.7334,733.4
0.73,730
0.736,736
0.7376,737.6
0.7384,738.4
0.7308,730.8
0.7276,727.6
0.7242,724.2
0.7314,731.4
0.7234,723.4
0.722,722
0.7304,730.4
0.7186,718.6
0.7308,730.8
0.723,723
0.7192,719.2
0.7266,726.6
0.729,729
0.7314,731.4
0.7252,725.2
0.7226,722.6
0.7294,729.4
0.723,723
0.7274,727.4
0.7162,716.2
0.7158,715.8
0.7194,719.4
0.73,730
0.728,728
0.7298,729.8
0.7276,727.6
0.7338,733.8
0.7422,742.2
0.7322,732.2
0.742,742
0.7464,746.4
0.7418,741.8
0.7338,733.8
0.7266,726.6
0.7298,729.8
0.723,723
0.7296,729.6
0.7266,726.6
0.735,735
0.7304,730.4
0.7308,730.8
0.7286,728.6
0.7334,733.4
0.7282,728.2
0.7278,727.8
0.7322,732.2
0.7224,722.4
0.7364,736.4
0.7328,732.8
0.734,734
