"avg_prop_infected","avg_num_infected"
0.2736,273.6
0.3552,355.2
0.4228,422.8
0.4826,482.6
0.5118,511.8
0.5528,552.8
0.5852,585.2
0.6036,603.6
0.625,625
0.638,638
0.651,651
0.6534,653.4
0.671,671
0.669,669
0.6768,676.8
0.6816,681.6
0.691,691
0.695,695
0.6868,686.8
0.6938,693.8
0.6998,699.8
0.7106,710.6
0.7076,707.6
0.708,708
0.706,706
0.6994,699.4
0.7152,715.2
0.7188,718.8
0.7226,722.6
0.7174,717.4
0.712,712
0.7266,726.6
0.7274,727.4
0.7266,726.6
0.7246,724.6
0.725,725
0.7226,722.6
0.719,719
0.7118,711.8
0.7174,717.4
0.7334,733.4
0.7202,720.2
0.725,725
0.734,734
0.7388,738.8
0.7174,717.4
0.7256,725.6
0.7312,731.2
0.7306,730.6
0.7302,730.2
0.7316,731.6
0.7366,736.6
0.7362,736.2
0.7246,724.6
0.7268,726.8
0.7346,734.6
0.7304,730.4
0.7294,729.4
0.7296,729.6
0.7362,736.2
0.725,725
0.733,733
0.7358,735.8
0.7294,729.4
0.7262,726.2
0.7224,722.4
0.722,722
0.722,722
0.7262,726.2
0.7244,724.4
0.7202,720.2
0.7246,724.6
0.7238,723.8
0.7304,730.4
0.7274,727.4
0.7208,720.8
0.728,728
0.726,726
0.7268,726.8
0.7224,722.4
0.7296,729.6
0.7232,723.2
0.7222,722.2
0.7264,726.4
0.7292,729.2
0.7248,724.8
0.7162,716.2
0.7218,721.8
0.72,720
0.7182,718.2
0.7234,723.4
0.7132,713.2
0.7212,721.2
0.7298,729.8
0.7204,720.4
0.7166,716.6
0.7252,725.2
0.7328,732.8
0.744,744
0.7312,731.2
