"avg_prop_infected","avg_num_infected"
0.2678,267.8
0.3474,347.4
0.4136,413.6
0.4656,465.6
0.5126,512.6
0.5482,548.2
0.5814,581.4
0.5974,597.4
0.6306,630.6
0.6406,640.6
0.6468,646.8
0.6676,667.6
0.6682,668.2
0.6576,657.6
0.6652,665.2
0.6812,681.2
0.6912,691.2
0.6842,684.2
0.6934,693.4
0.696,696
0.7032,703.2
0.7136,713.6
0.7036,703.6
0.707,707
0.7084,708.4
0.7086,708.6
0.7124,712.4
0.7164,716.4
0.707,707
0.7134,713.4
0.7182,718.2
0.733,733
0.729,729
0.7284,728.4
0.7326,732.6
0.7204,720.4
0.7152,715.2
0.7228,722.8
0.7178,717.8
0.7114,711.4
0.7298,729.8
0.7366,736.6
0.7264,726.4
0.7232,723.2
0.7214,721.4
0.7258,725.8
0.7224,722.4
0.727,727
0.723,723
0.7234,723.4
0.733,733
0.7324,732.4
0.7222,722.2
0.7286,728.6
0.7232,723.2
0.7218,721.8
0.721,721
0.7172,717.2
0.7122,712.2
0.7208,720.8
0.7304,730.4
0.7258,725.8
0.7172,717.2
0.7216,721.6
0.726,726
0.7238,723.8
0.7314,731.4
0.7208,720.8
0.7298,729.8
0.7298,729.8
0.7396,739.6
0.7166,716.6
0.7212,721.2
0.7286,728.6
0.7232,723.2
0.718,718
0.7268,726.8
0.7238,723.8
0.7072,707.2
0.7166,716.6
0.7192,719.2
0.7202,720.2
0.7304,730.4
0.7268,726.8
0.7358,735.8
0.723,723
0.7264,726.4
0.7226,722.6
0.7212,721.2
0.7264,726.4
0.7268,726.8
0.7112,711.2
0.7252,725.2
0.7198,719.8
0.7224,722.4
0.7168,716.8
0.7154,715.4
0.7168,716.8
0.721,721
0.7214,721.4
