"avg_prop_infected","avg_num_infected"
0.2852,285.2
0.3648,364.8
0.4438,443.8
0.4902,490.2
0.5342,534.2
0.5714,571.4
0.6088,608.8
0.629,629
0.6424,642.4
0.6578,657.8
0.6776,677.6
0.6882,688.2
0.6926,692.6
0.6868,686.8
0.7082,708.2
0.7128,712.8
0.7008,700.8
0.713,713
0.7102,710.2
0.7244,724.4
0.7154,715.4
0.7194,719.4
0.7204,720.4
0.7196,719.6
0.7234,723.4
0.7254,725.4
0.7308,730.8
0.7254,725.4
0.7336,733.6
0.721,721
0.7288,728.8
0.7192,719.2
0.7278,727.8
0.7366,736.6
0.7306,730.6
0.7326,732.6
0.7328,732.8
0.7288,728.8
0.7316,731.6
0.7312,731.2
0.723,723
0.736,736
0.7278,727.8
0.7328,732.8
0.7268,726.8
0.736,736
0.7386,738.6
0.7324,732.4
0.7312,731.2
0.7438,743.8
0.7436,743.6
0.743,743
0.727,727
0.7408,740.8
0.7332,733.2
0.725,725
0.7252,725.2
0.7314,731.4
0.7292,729.2
0.7284,728.4
0.7216,721.6
0.7262,726.2
0.7168,716.8
0.7234,723.4
0.7268,726.8
0.736,736
0.7298,729.8
0.719,719
0.7282,728.2
0.7344,734.4
0.7418,741.8
0.731,731
0.7326,732.6
0.7342,734.2
0.729,729
0.7234,723.4
0.7348,734.8
0.7328,732.8
0.7376,737.6
0.7412,741.2
0.7224,722.4
0.723,723
0.7384,738.4
0.7392,739.2
0.7314,731.4
0.7268,726.8
0.7222,722.2
0.7324,732.4
0.7328,732.8
0.7362,736.2
0.7394,739.4
0.7264,726.4
0.7274,727.4
0.7328,732.8
0.718,718
0.739,739
0.7504,750.4
0.7306,730.6
0.738,738
0.7328,732.8
