"avg_prop_infected","avg_num_infected"
0.3688,368.8
0.4214,421.4
0.4736,473.6
0.5132,513.2
0.553,553
0.5864,586.4
0.6086,608.6
0.6298,629.8
0.6458,645.8
0.654,654
0.6706,670.6
0.6856,685.6
0.692,692
0.7038,703.8
0.7084,708.4
0.722,722
0.723,723
0.7274,727.4
0.7344,734.4
0.7396,739.6
0.7488,748.8
0.759,759
0.7472,747.2
0.756,756
0.756,756
0.7616,761.6
0.7592,759.2
0.7538,753.8
0.7642,764.2
0.7754,775.4
0.7744,774.4
0.7704,770.4
0.7708,770.8
0.77,770
0.7698,769.8
0.7594,759.4
0.7586,758.6
0.7598,759.8
0.7648,764.8
0.7752,775.2
0.773,773
0.7734,773.4
0.7688,768.8
0.768,768
0.7732,773.2
0.7722,772.2
0.7692,769.2
0.7764,776.4
0.779,779
0.763,763
0.7848,784.8
0.7916,791.6
0.7872,787.2
0.777,777
0.7724,772.4
0.7674,767.4
0.7656,765.6
0.773,773
0.7668,766.8
0.7686,768.6
0.775,775
0.762,762
0.76,760
0.7688,768.8
0.7742,774.2
0.7748,774.8
0.772,772
0.7726,772.6
0.7764,776.4
0.7696,769.6
0.7664,766.4
0.769,769
0.7732,773.2
0.7664,766.4
0.7686,768.6
0.765,765
0.769,769
0.7738,773.8
0.775,775
0.7776,777.6
0.7756,775.6
0.7688,768.8
0.771,771
0.7796,779.6
0.7764,776.4
0.7672,767.2
0.7698,769.8
0.765,765
0.7612,761.2
0.7618,761.8
0.7636,763.6
0.7804,780.4
0.768,768
0.761,761
0.7654,765.4
0.7722,772.2
0.774,774
0.7704,770.4
0.764,764
0.775,775
