"avg_prop_infected","avg_num_infected"
0.3704,370.4
0.4194,419.4
0.4524,452.4
0.5102,510.2
0.5406,540.6
0.5642,564.2
0.5894,589.4
0.6224,622.4
0.638,638
0.654,654
0.6708,670.8
0.689,689
0.691,691
0.7066,706.6
0.7074,707.4
0.7142,714.2
0.7212,721.2
0.7292,729.2
0.723,723
0.7458,745.8
0.7494,749.4
0.742,742
0.7384,738.4
0.7564,756.4
0.744,744
0.7446,744.6
0.7542,754.2
0.746,746
0.7648,764.8
0.762,762
0.7698,769.8
0.7738,773.8
0.775,775
0.7708,770.8
0.7808,780.8
0.7774,777.4
0.7684,768.4
0.763,763
0.7654,765.4
0.7776,777.6
0.769,769
0.769,769
0.7718,771.8
0.7654,765.4
0.7692,769.2
0.773,773
0.7762,776.2
0.7718,771.8
0.7696,769.6
0.7724,772.4
0.774,774
0.7674,767.4
0.766,766
0.7632,763.2
0.7578,757.8
0.7678,767.8
0.7794,779.4
0.7806,780.6
0.77,770
0.7726,772.6
0.7738,773.8
0.7862,786.2
0.7742,774.2
0.783,783
0.771,771
0.774,774
0.7796,779.6
0.776,776
0.778,778
0.7718,771.8
0.7716,771.6
0.7762,776.2
0.7784,778.4
0.7772,777.2
0.7892,789.2
0.7892,789.2
0.7812,781.2
0.7646,764.6
0.7718,771.8
0.7606,760.6
0.7726,772.6
0.7708,770.8
0.7682,768.2
0.7638,763.8
0.776,776
0.7812,781.2
0.7806,780.6
0.7714,771.4
0.7718,771.8
0.781,781
0.7784,778.4
0.7758,775.8
0.782,782
0.7838,783.8
0.7656,765.6
0.7766,776.6
0.7652,765.2
0.7748,774.8
0.775,775
0.777,777
