"avg_prop_infected","avg_num_infected"
0.273,273
0.349,349
0.4046,404.6
0.4432,443.2
0.4958,495.8
0.5324,532.4
0.5666,566.6
0.585,585
0.6184,618.4
0.6368,636.8
0.6542,654.2
0.6708,670.8
0.679,679
0.6856,685.6
0.708,708
0.7116,711.6
0.714,714
0.7188,718.8
0.7224,722.4
0.7338,733.8
0.7324,732.4
0.742,742
0.7436,743.6
0.7456,745.6
0.7438,743.8
0.7486,748.6
0.7606,760.6
0.7624,762.4
0.7636,763.6
0.7694,769.4
0.7634,763.4
0.7688,768.8
0.7692,769.2
0.7712,771.2
0.7684,768.4
0.7694,769.4
0.7692,769.2
0.773,773
0.767,767
0.7694,769.4
0.7722,772.2
0.7708,770.8
0.7758,775.8
0.7638,763.8
0.768,768
0.7666,766.6
0.764,764
0.761,761
0.764,764
0.7694,769.4
0.7738,773.8
0.7724,772.4
0.774,774
0.7742,774.2
0.7682,768.2
0.7622,762.2
0.7748,774.8
0.7698,769.8
0.7692,769.2
0.7682,768.2
0.7722,772.2
0.7692,769.2
0.773,773
0.7664,766.4
0.7618,761.8
0.771,771
0.779,779
0.7622,762.2
0.7696,769.6
0.7628,762.8
0.7662,766.2
0.7648,764.8
0.7704,770.4
0.7604,760.4
0.769,769
0.7786,778.6
0.78,780
0.7722,772.2
0.771,771
0.767,767
0.7642,764.2
0.76,760
0.7658,765.8
0.7702,770.2
0.772,772
0.768,768
0.7752,775.2
0.7742,774.2
0.767,767
0.7624,762.4
0.7648,764.8
0.7698,769.8
0.7754,775.4
0.7588,758.8
0.7678,767.8
0.7684,768.4
0.7736,773.6
0.7714,771.4
0.7618,761.8
0.7694,769.4
