"avg_prop_infected","avg_num_infected"
0.2696,269.6
0.3566,356.6
0.4182,418.2
0.4596,459.6
0.5004,500.4
0.537,537
0.5712,571.2
0.5902,590.2
0.6224,622.4
0.633,633
0.6448,644.8
0.6632,663.2
0.6656,665.6
0.6808,680.8
0.6914,691.4
0.708,708
0.7228,722.8
0.7256,725.6
0.7314,731.4
0.7366,736.6
0.7342,734.2
0.7412,741.2
0.7522,752.2
0.756,756
0.767,767
0.7624,762.4
0.7596,759.6
0.7624,762.4
0.778,778
0.7884,788.4
0.7778,777.8
0.7758,775.8
0.7756,775.6
0.766,766
0.767,767
0.7706,770.6
0.7676,767.6
0.7704,770.4
0.7768,776.8
0.7722,772.2
0.7716,771.6
0.7746,774.6
0.7878,787.8
0.7708,770.8
0.7774,777.4
0.775,775
0.7776,777.6
0.772,772
0.7732,773.2
0.767,767
0.7694,769.4
0.7678,767.8
0.7598,759.8
0.7684,768.4
0.7644,764.4
0.7704,770.4
0.774,774
0.7762,776.2
0.7806,780.6
0.7618,761.8
0.7666,766.6
0.7728,772.8
0.7702,770.2
0.767,767
0.7752,775.2
0.7852,785.2
0.7786,778.6
0.767,767
0.762,762
0.7632,763.2
0.7638,763.8
0.7572,757.2
0.7602,760.2
0.7818,781.8
0.7746,774.6
0.7962,796.2
0.777,777
0.7736,773.6
0.771,771
0.7732,773.2
0.781,781
0.7828,782.8
0.784,784
0.7876,787.6
0.773,773
0.7718,771.8
0.7734,773.4
0.7736,773.6
0.7834,783.4
0.768,768
0.7742,774.2
0.7674,767.4
0.7786,778.6
0.7744,774.4
0.7704,770.4
0.7646,764.6
0.7714,771.4
0.784,784
0.7818,781.8
0.7696,769.6
