"avg_prop_infected","avg_num_infected"
0.3552,355.2
0.4084,408.4
0.4626,462.6
0.5086,508.6
0.554,554
0.5884,588.4
0.6172,617.2
0.6326,632.6
0.6516,651.6
0.6692,669.2
0.6916,691.6
0.7044,704.4
0.7188,718.8
0.721,721
0.7338,733.8
0.7324,732.4
0.7376,737.6
0.7322,732.2
0.7378,737.8
0.7504,750.4
0.7516,751.6
0.7606,760.6
0.7712,771.2
0.7786,778.6
0.7666,766.6
0.759,759
0.7634,763.4
0.7626,762.6
0.7656,765.6
0.7694,769.4
0.7732,773.2
0.7856,785.6
0.7802,780.2
0.7742,774.2
0.7786,778.6
0.7774,777.4
0.7708,770.8
0.7628,762.8
0.7712,771.2
0.761,761
0.7678,767.8
0.7714,771.4
0.7798,779.8
0.7822,782.2
0.7704,770.4
0.7664,766.4
0.768,768
0.777,777
0.7782,778.2
0.7788,778.8
0.7754,775.4
0.7708,770.8
0.779,779
0.7702,770.2
0.7856,785.6
0.78,780
0.7782,778.2
0.7708,770.8
0.7692,769.2
0.77,770
0.785,785
0.7736,773.6
0.768,768
0.7634,763.4
0.775,775
0.7786,778.6
0.7662,766.2
0.7668,766.8
0.771,771
0.7672,767.2
0.768,768
0.7768,776.8
0.7784,778.4
0.7768,776.8
0.7776,777.6
0.7766,776.6
0.7682,768.2
0.7636,763.6
0.7756,775.6
0.7714,771.4
0.7708,770.8
0.7642,764.2
0.77,770
0.7694,769.4
0.765,765
0.7758,775.8
0.7754,775.4
0.7586,758.6
0.7678,767.8
0.7734,773.4
0.7718,771.8
0.7828,782.8
0.7718,771.8
0.7728,772.8
0.775,775
0.7756,775.6
0.768,768
0.7592,759.2
0.7628,762.8
0.7706,770.6
