"avg_prop_infected","avg_num_infected"
0.346,346
0.4,400
0.4514,451.4
0.4818,481.8
0.5298,529.8
0.562,562
0.5826,582.6
0.6032,603.2
0.6288,628.8
0.6272,627.2
0.6602,660.2
0.6844,684.4
0.6886,688.6
0.694,694
0.7164,716.4
0.7212,721.2
0.7178,717.8
0.7276,727.6
0.7372,737.2
0.7366,736.6
0.7514,751.4
0.7438,743.8
0.7432,743.2
0.7572,757.2
0.7476,747.6
0.7476,747.6
0.7448,744.8
0.7526,752.6
0.7636,763.6
0.7694,769.4
0.7716,771.6
0.759,759
0.7818,781.8
0.7768,776.8
0.7666,766.6
0.7754,775.4
0.7682,768.2
0.778,778
0.7782,778.2
0.7814,781.4
0.7768,776.8
0.771,771
0.7702,770.2
0.7742,774.2
0.7724,772.4
0.7716,771.6
0.7654,765.4
0.7586,758.6
0.7736,773.6
0.7808,780.8
0.7734,773.4
0.7764,776.4
0.762,762
0.7644,764.4
0.7658,765.8
0.7788,778.8
0.7682,768.2
0.7756,775.6
0.7734,773.4
0.7762,776.2
0.7718,771.8
0.7766,776.6
0.7692,769.2
0.7606,760.6
0.763,763
0.7642,764.2
0.7678,767.8
0.7658,765.8
0.7794,779.4
0.773,773
0.7696,769.6
0.765,765
0.7636,763.6
0.7734,773.4
0.7788,778.8
0.7666,766.6
0.7742,774.2
0.7806,780.6
0.775,775
0.7794,779.4
0.7676,767.6
0.778,778
0.7738,773.8
0.776,776
0.7768,776.8
0.7784,778.4
0.7764,776.4
0.7708,770.8
0.7822,782.2
0.7848,784.8
0.781,781
0.7814,781.4
0.7818,781.8
0.7798,779.8
0.7758,775.8
0.7744,774.4
0.771,771
0.7702,770.2
0.7614,761.4
0.769,769
