"avg_prop_infected","avg_num_infected"
0.1984,198.4
0.4032,403.2
0.4664,466.4
0.4714,471.4
0.4814,481.4
0.4904,490.4
0.4832,483.2
0.4894,489.4
0.48,480
0.4742,474.2
0.4816,481.6
0.4798,479.8
0.4686,468.6
0.4724,472.4
0.4828,482.8
0.4886,488.6
0.4736,473.6
0.4808,480.8
0.483,483
0.4784,478.4
0.4678,467.8
0.4742,474.2
0.4782,478.2
0.4768,476.8
0.4834,483.4
0.4864,486.4
0.4776,477.6
0.4712,471.2
0.4678,467.8
0.4718,471.8
0.488,488
0.48,480
0.481,481
0.4788,478.8
0.4644,464.4
0.47,470
0.4702,470.2
0.463,463
0.4874,487.4
0.4872,487.2
0.473,473
0.475,475
0.4762,476.2
0.4834,483.4
0.479,479
0.4848,484.8
0.4766,476.6
0.48,480
0.4792,479.2
0.4586,458.6
0.483,483
0.4802,480.2
0.475,475
0.462,462
0.4716,471.6
0.4658,465.8
0.4788,478.8
0.4718,471.8
0.4818,481.8
0.4826,482.6
0.4884,488.4
0.4806,480.6
0.4796,479.6
0.4692,469.2
0.4788,478.8
0.4722,472.2
0.4814,481.4
0.4728,472.8
0.4766,476.6
0.4786,478.6
0.4828,482.8
0.4778,477.8
0.4744,474.4
0.4812,481.2
0.4848,484.8
0.4666,466.6
0.4778,477.8
0.48,480
0.4644,464.4
0.4744,474.4
0.4726,472.6
0.478,478
0.4738,473.8
0.4892,489.2
0.4874,487.4
0.4666,466.6
0.4794,479.4
0.4666,466.6
0.4832,483.2
0.4838,483.8
0.4894,489.4
0.4856,485.6
0.4772,477.2
0.4936,493.6
0.4812,481.2
0.474,474
0.4786,478.6
0.481,481
0.4822,482.2
0.4806,480.6
