"avg_prop_infected","avg_num_infected"
0.204,204
0.406,406
0.4582,458.2
0.4758,475.8
0.4734,473.4
0.4742,474.2
0.4688,468.8
0.4694,469.4
0.4694,469.4
0.4614,461.4
0.478,478
0.4808,480.8
0.4764,476.4
0.4702,470.2
0.4768,476.8
0.4856,485.6
0.4786,478.6
0.4728,472.8
0.4778,477.8
0.4756,475.6
0.467,467
0.4758,475.8
0.476,476
0.4662,466.2
0.4736,473.6
0.4738,473.8
0.4772,477.2
0.4856,485.6
0.4776,477.6
0.4772,477.2
0.471,471
0.471,471
0.48,480
0.4712,471.2
0.4748,474.8
0.477,477
0.4794,479.4
0.4946,494.6
0.4862,486.2
0.47,470
0.4728,472.8
0.4826,482.6
0.4646,464.6
0.4762,476.2
0.4814,481.4
0.4754,475.4
0.4748,474.8
0.4758,475.8
0.4762,476.2
0.4722,472.2
0.4692,469.2
0.4708,470.8
0.4752,475.2
0.4804,480.4
0.4722,472.2
0.4794,479.4
0.4728,472.8
0.477,477
0.4758,475.8
0.479,479
0.4802,480.2
0.478,478
0.466,466
0.4738,473.8
0.4916,491.6
0.475,475
0.481,481
0.4936,493.6
0.4878,487.8
0.4794,479.4
0.473,473
0.4708,470.8
0.466,466
0.4788,478.8
0.4724,472.4
0.4846,484.6
0.4766,476.6
0.4758,475.8
0.487,487
0.4902,490.2
0.4906,490.6
0.4826,482.6
0.4856,485.6
0.4764,476.4
0.4684,468.4
0.4788,478.8
0.471,471
0.4588,458.8
0.4604,460.4
0.4876,487.6
0.4806,480.6
0.4708,470.8
0.475,475
0.475,475
0.4744,474.4
0.4768,476.8
0.4796,479.6
0.4772,477.2
0.4782,478.2
0.477,477
