"avg_prop_infected","avg_num_infected"
0.1978,197.8
0.3974,397.4
0.4556,455.6
0.4708,470.8
0.473,473
0.473,473
0.4762,476.2
0.4746,474.6
0.4862,486.2
0.4886,488.6
0.4908,490.8
0.4932,493.2
0.478,478
0.479,479
0.4834,483.4
0.4904,490.4
0.4858,485.8
0.4896,489.6
0.4798,479.8
0.4812,481.2
0.4738,473.8
0.4724,472.4
0.4756,475.6
0.4816,481.6
0.4758,475.8
0.4776,477.6
0.4712,471.2
0.4722,472.2
0.4956,495.6
0.4856,485.6
0.477,477
0.4734,473.4
0.4822,482.2
0.4792,479.2
0.4642,464.2
0.481,481
0.484,484
0.4834,483.4
0.4734,473.4
0.4726,472.6
0.4772,477.2
0.4804,480.4
0.482,482
0.4698,469.8
0.479,479
0.4746,474.6
0.4822,482.2
0.4814,481.4
0.4856,485.6
0.4634,463.4
0.4646,464.6
0.4758,475.8
0.4764,476.4
0.4828,482.8
0.4804,480.4
0.4744,474.4
0.479,479
0.478,478
0.4768,476.8
0.4862,486.2
0.4822,482.2
0.4654,465.4
0.4874,487.4
0.4944,494.4
0.4672,467.2
0.4798,479.8
0.4848,484.8
0.4888,488.8
0.479,479
0.479,479
0.4832,483.2
0.4746,474.6
0.4762,476.2
0.4682,468.2
0.4796,479.6
0.488,488
0.468,468
0.4628,462.8
0.4714,471.4
0.4876,487.6
0.4974,497.4
0.4828,482.8
0.4724,472.4
0.4856,485.6
0.4782,478.2
0.4786,478.6
0.4868,486.8
0.4844,484.4
0.4768,476.8
0.4792,479.2
0.4656,465.6
0.4734,473.4
0.4768,476.8
0.4714,471.4
0.4684,468.4
0.467,467
0.481,481
0.4762,476.2
0.494,494
0.4764,476.4
