"avg_prop_infected","avg_num_infected"
0.204,204
0.4138,413.8
0.4632,463.2
0.4758,475.8
0.4734,473.4
0.4846,484.6
0.4708,470.8
0.49,490
0.4842,484.2
0.4944,494.4
0.4888,488.8
0.476,476
0.4736,473.6
0.4836,483.6
0.4888,488.8
0.4772,477.2
0.4696,469.6
0.4668,466.8
0.4692,469.2
0.4716,471.6
0.4858,485.8
0.4844,484.4
0.4812,481.2
0.4696,469.6
0.4686,468.6
0.4768,476.8
0.4754,475.4
0.4858,485.8
0.4778,477.8
0.487,487
0.485,485
0.4758,475.8
0.4688,468.8
0.4818,481.8
0.4782,478.2
0.4634,463.4
0.478,478
0.4766,476.6
0.4854,485.4
0.4716,471.6
0.4792,479.2
0.48,480
0.4912,491.2
0.4784,478.4
0.4682,468.2
0.478,478
0.4792,479.2
0.479,479
0.486,486
0.4786,478.6
0.4738,473.8
0.4858,485.8
0.4906,490.6
0.4708,470.8
0.4768,476.8
0.4752,475.2
0.484,484
0.4762,476.2
0.4808,480.8
0.4776,477.6
0.4856,485.6
0.4752,475.2
0.475,475
0.4708,470.8
0.4712,471.2
0.4838,483.8
0.473,473
0.4758,475.8
0.4688,468.8
0.4774,477.4
0.4806,480.6
0.4742,474.2
0.4688,468.8
0.4674,467.4
0.4884,488.4
0.469,469
0.476,476
0.475,475
0.4844,484.4
0.4708,470.8
0.4828,482.8
0.4798,479.8
0.4866,486.6
0.4612,461.2
0.459,459
0.477,477
0.4818,481.8
0.477,477
0.4854,485.4
0.4826,482.6
0.4808,480.8
0.4716,471.6
0.4632,463.2
0.4708,470.8
0.4762,476.2
0.4838,483.8
0.4772,477.2
0.4852,485.2
0.4736,473.6
0.4726,472.6
