"avg_prop_infected","avg_num_infected"
0.203,203
0.4104,410.4
0.4548,454.8
0.4638,463.8
0.4774,477.4
0.4696,469.6
0.4728,472.8
0.4832,483.2
0.4792,479.2
0.4924,492.4
0.4742,474.2
0.4928,492.8
0.4814,481.4
0.4792,479.2
0.4816,481.6
0.4668,466.8
0.4662,466.2
0.4702,470.2
0.4766,476.6
0.4676,467.6
0.4748,474.8
0.4872,487.2
0.4868,486.8
0.4796,479.6
0.4816,481.6
0.4796,479.6
0.4744,474.4
0.48,480
0.4816,481.6
0.4872,487.2
0.4874,487.4
0.4808,480.8
0.4782,478.2
0.472,472
0.4842,484.2
0.487,487
0.4848,484.8
0.4786,478.6
0.484,484
0.4734,473.4
0.4764,476.4
0.478,478
0.4796,479.6
0.4824,482.4
0.474,474
0.4682,468.2
0.485,485
0.4762,476.2
0.477,477
0.4716,471.6
0.4782,478.2
0.4752,475.2
0.4728,472.8
0.4678,467.8
0.4764,476.4
0.4826,482.6
0.4868,486.8
0.4834,483.4
0.4718,471.8
0.482,482
0.4874,487.4
0.4912,491.2
0.4802,480.2
0.4942,494.2
0.481,481
0.484,484
0.487,487
0.4862,486.2
0.4836,483.6
0.4646,464.6
0.478,478
0.4748,474.8
0.4724,472.4
0.4834,483.4
0.477,477
0.4826,482.6
0.4832,483.2
0.4694,469.4
0.4778,477.8
0.4822,482.2
0.4842,484.2
0.4712,471.2
0.4694,469.4
0.4828,482.8
0.4736,473.6
0.4698,469.8
0.4858,485.8
0.4666,466.6
0.4722,472.2
0.4674,467.4
0.464,464
0.4704,470.4
0.4826,482.6
0.475,475
0.4722,472.2
0.4728,472.8
0.4856,485.6
0.4772,477.2
0.479,479
0.4762,476.2
