"avg_prop_infected","avg_num_infected"
0.219,219
0.41,410
0.4532,453.2
0.4708,470.8
0.4774,477.4
0.4742,474.2
0.4798,479.8
0.4878,487.8
0.484,484
0.482,482
0.4852,485.2
0.4874,487.4
0.4736,473.6
0.4722,472.2
0.4824,482.4
0.4672,467.2
0.4844,484.4
0.4932,493.2
0.486,486
0.5002,500.2
0.4872,487.2
0.4804,480.4
0.4674,467.4
0.4782,478.2
0.4708,470.8
0.4678,467.8
0.478,478
0.4744,474.4
0.4858,485.8
0.477,477
0.4844,484.4
0.4632,463.2
0.4642,464.2
0.473,473
0.4812,481.2
0.467,467
0.4732,473.2
0.4884,488.4
0.4876,487.6
0.483,483
0.4824,482.4
0.4828,482.8
0.4762,476.2
0.478,478
0.4608,460.8
0.484,484
0.4894,489.4
0.4796,479.6
0.4852,485.2
0.4742,474.2
0.4778,477.8
0.4712,471.2
0.484,484
0.4828,482.8
0.4856,485.6
0.4804,480.4
0.4888,488.8
0.4862,486.2
0.4766,476.6
0.4846,484.6
0.4732,473.2
0.4836,483.6
0.484,484
0.4832,483.2
0.4862,486.2
0.4942,494.2
0.489,489
0.4926,492.6
0.4706,470.6
0.4788,478.8
0.4788,478.8
0.4674,467.4
0.4714,471.4
0.473,473
0.4806,480.6
0.4654,465.4
0.477,477
0.4802,480.2
0.4726,472.6
0.465,465
0.4894,489.4
0.4822,482.2
0.4724,472.4
0.4788,478.8
0.4844,484.4
0.4856,485.6
0.4726,472.6
0.477,477
0.4748,474.8
0.4798,479.8
0.4882,488.2
0.4726,472.6
0.4784,478.4
0.4776,477.6
0.48,480
0.4844,484.4
0.4712,471.2
0.4602,460.2
0.4768,476.8
0.4742,474.2
