"avg_prop_infected","avg_num_infected"
0.2124,212.4
0.4116,411.6
0.4506,450.6
0.4754,475.4
0.4776,477.6
0.472,472
0.482,482
0.4652,465.2
0.4656,465.6
0.4664,466.4
0.4728,472.8
0.483,483
0.4794,479.4
0.4866,486.6
0.4762,476.2
0.4716,471.6
0.4814,481.4
0.477,477
0.4818,481.8
0.4746,474.6
0.4864,486.4
0.4786,478.6
0.4748,474.8
0.4614,461.4
0.4678,467.8
0.4732,473.2
0.4766,476.6
0.4754,475.4
0.4858,485.8
0.4712,471.2
0.4832,483.2
0.4842,484.2
0.475,475
0.4694,469.4
0.4754,475.4
0.4726,472.6
0.473,473
0.4798,479.8
0.472,472
0.472,472
0.4756,475.6
0.4692,469.2
0.487,487
0.4896,489.6
0.477,477
0.4734,473.4
0.4766,476.6
0.4762,476.2
0.4706,470.6
0.475,475
0.4716,471.6
0.4882,488.2
0.4828,482.8
0.477,477
0.4768,476.8
0.4902,490.2
0.4806,480.6
0.4778,477.8
0.467,467
0.4784,478.4
0.4796,479.6
0.478,478
0.468,468
0.4744,474.4
0.482,482
0.4752,475.2
0.4704,470.4
0.486,486
0.4774,477.4
0.4864,486.4
0.4822,482.2
0.4782,478.2
0.4776,477.6
0.4808,480.8
0.4672,467.2
0.4708,470.8
0.4806,480.6
0.487,487
0.4716,471.6
0.4796,479.6
0.4798,479.8
0.483,483
0.4864,486.4
0.4666,466.6
0.461,461
0.4798,479.8
0.4596,459.6
0.4702,470.2
0.4746,474.6
0.4684,468.4
0.4634,463.4
0.4756,475.6
0.483,483
0.4652,465.2
0.4742,474.2
0.484,484
0.478,478
0.4738,473.8
0.496,496
0.4852,485.2
