"avg_prop_infected","avg_num_infected"
0.4356,435.6
0.5152,515.2
0.5476,547.6
0.5624,562.4
0.5834,583.4
0.5894,589.4
0.606,606
0.6048,604.8
0.599,599
0.5928,592.8
0.6,600
0.5904,590.4
0.5938,593.8
0.591,591
0.5876,587.6
0.5926,592.6
0.5908,590.8
0.5878,587.8
0.5932,593.2
0.5932,593.2
0.5926,592.6
0.6058,605.8
0.5948,594.8
0.5922,592.2
0.596,596
0.593,593
0.584,584
0.5906,590.6
0.6014,601.4
0.5854,585.4
0.5946,594.6
0.5922,592.2
0.5928,592.8
0.5942,594.2
0.5966,596.6
0.6,600
0.5928,592.8
0.5868,586.8
0.5892,589.2
0.5934,593.4
0.5978,597.8
0.5912,591.2
0.594,594
0.5966,596.6
0.5904,590.4
0.5966,596.6
0.5932,593.2
0.5924,592.4
0.5962,596.2
0.5966,596.6
0.5962,596.2
0.591,591
0.5942,594.2
0.59,590
0.5902,590.2
0.5908,590.8
0.5908,590.8
0.5898,589.8
0.5896,589.6
0.584,584
0.5912,591.2
0.5938,593.8
0.5908,590.8
0.593,593
0.5934,593.4
0.597,597
0.5958,595.8
0.5896,589.6
0.5946,594.6
0.5956,595.6
0.5876,587.6
0.5912,591.2
0.592,592
0.601,601
0.592,592
0.5888,588.8
0.5916,591.6
0.5912,591.2
0.5892,589.2
0.593,593
0.5954,595.4
0.5918,591.8
0.5998,599.8
0.5964,596.4
0.5972,597.2
0.5932,593.2
0.592,592
0.6004,600.4
0.591,591
0.5932,593.2
0.5964,596.4
0.595,595
0.5928,592.8
0.5936,593.6
0.594,594
0.5874,587.4
0.5932,593.2
0.593,593
0.588,588
0.5884,588.4
