"avg_prop_infected","avg_num_infected"
0.4566,456.6
0.5172,517.2
0.5608,560.8
0.5702,570.2
0.5726,572.6
0.5794,579.4
0.5804,580.4
0.596,596
0.5918,591.8
0.5884,588.4
0.5898,589.8
0.593,593
0.5882,588.2
0.5862,586.2
0.5954,595.4
0.5916,591.6
0.5994,599.4
0.5894,589.4
0.597,597
0.595,595
0.595,595
0.5894,589.4
0.5952,595.2
0.5908,590.8
0.5836,583.6
0.5956,595.6
0.5966,596.6
0.5904,590.4
0.591,591
0.6002,600.2
0.5918,591.8
0.592,592
0.6014,601.4
0.583,583
0.588,588
0.5926,592.6
0.5896,589.6
0.5822,582.2
0.589,589
0.5898,589.8
0.5946,594.6
0.597,597
0.5994,599.4
0.5982,598.2
0.5874,587.4
0.5866,586.6
0.5962,596.2
0.6044,604.4
0.6036,603.6
0.592,592
0.5928,592.8
0.587,587
0.5824,582.4
0.598,598
0.5994,599.4
0.591,591
0.5872,587.2
0.5878,587.8
0.5908,590.8
0.5896,589.6
0.5902,590.2
0.5878,587.8
0.6002,600.2
0.5914,591.4
0.5856,585.6
0.5936,593.6
0.5976,597.6
0.584,584
0.5838,583.8
0.5908,590.8
0.5944,594.4
0.5886,588.6
0.6006,600.6
0.603,603
0.5952,595.2
0.5962,596.2
0.5952,595.2
0.5834,583.4
0.5836,583.6
0.5884,588.4
0.5882,588.2
0.587,587
0.595,595
0.5886,588.6
0.5958,595.8
0.6008,600.8
0.5858,585.8
0.588,588
0.5864,586.4
0.5888,588.8
0.593,593
0.6016,601.6
0.5926,592.6
0.5988,598.8
0.5902,590.2
0.5886,588.6
0.5896,589.6
0.589,589
0.588,588
0.5898,589.8
