"avg_prop_infected","avg_num_infected"
0.4436,443.6
0.5186,518.6
0.5584,558.4
0.5686,568.6
0.5772,577.2
0.5862,586.2
0.5864,586.4
0.5798,579.8
0.5878,587.8
0.598,598
0.591,591
0.594,594
0.5974,597.4
0.6074,607.4
0.5996,599.6
0.5938,593.8
0.5926,592.6
0.601,601
0.5968,596.8
0.5996,599.6
0.5942,594.2
0.5906,590.6
0.5914,591.4
0.5834,583.4
0.5992,599.2
0.5986,598.6
0.6032,603.2
0.5974,597.4
0.5952,595.2
0.5976,597.6
0.5952,595.2
0.598,598
0.589,589
0.5902,590.2
0.5872,587.2
0.6002,600.2
0.5906,590.6
0.5976,597.6
0.6014,601.4
0.597,597
0.5904,590.4
0.595,595
0.6068,606.8
0.5952,595.2
0.5884,588.4
0.5898,589.8
0.598,598
0.5964,596.4
0.592,592
0.5942,594.2
0.5922,592.2
0.5888,588.8
0.5876,587.6
0.5868,586.8
0.592,592
0.5952,595.2
0.5944,594.4
0.5864,586.4
0.5906,590.6
0.5958,595.8
0.5928,592.8
0.5894,589.4
0.5818,581.8
0.5978,597.8
0.595,595
0.5912,591.2
0.5926,592.6
0.5968,596.8
0.6024,602.4
0.601,601
0.5972,597.2
0.5992,599.2
0.587,587
0.5926,592.6
0.601,601
0.5902,590.2
0.5884,588.4
0.5874,587.4
0.5864,586.4
0.5786,578.6
0.5914,591.4
0.5906,590.6
0.5874,587.4
0.5804,580.4
0.5924,592.4
0.5888,588.8
0.5888,588.8
0.5842,584.2
0.5976,597.6
0.5942,594.2
0.589,589
0.591,591
0.6048,604.8
0.5884,588.4
0.5882,588.2
0.594,594
0.5866,586.6
0.5968,596.8
0.5888,588.8
0.5936,593.6
