"avg_prop_infected","avg_num_infected"
0.4296,429.6
0.5174,517.4
0.549,549
0.5664,566.4
0.5724,572.4
0.5832,583.2
0.5756,575.6
0.5858,585.8
0.5934,593.4
0.5876,587.6
0.5946,594.6
0.5894,589.4
0.5946,594.6
0.6028,602.8
0.5924,592.4
0.5938,593.8
0.591,591
0.5794,579.4
0.5938,593.8
0.5874,587.4
0.5934,593.4
0.587,587
0.6002,600.2
0.5956,595.6
0.5944,594.4
0.5932,593.2
0.5922,592.2
0.5958,595.8
0.5908,590.8
0.5888,588.8
0.588,588
0.6008,600.8
0.5864,586.4
0.5832,583.2
0.5846,584.6
0.5862,586.2
0.5948,594.8
0.597,597
0.5952,595.2
0.5972,597.2
0.5892,589.2
0.5906,590.6
0.5888,588.8
0.5912,591.2
0.59,590
0.5882,588.2
0.6,600
0.5862,586.2
0.5902,590.2
0.5862,586.2
0.5964,596.4
0.602,602
0.5854,585.4
0.5902,590.2
0.5894,589.4
0.592,592
0.5918,591.8
0.5838,583.8
0.578,578
0.587,587
0.5854,585.4
0.5938,593.8
0.5942,594.2
0.5868,586.8
0.5914,591.4
0.5876,587.6
0.589,589
0.6022,602.2
0.5904,590.4
0.5974,597.4
0.5802,580.2
0.5818,581.8
0.5856,585.6
0.5884,588.4
0.5904,590.4
0.5912,591.2
0.6054,605.4
0.6032,603.2
0.5954,595.4
0.6044,604.4
0.589,589
0.596,596
0.589,589
0.591,591
0.5922,592.2
0.586,586
0.5816,581.6
0.5852,585.2
0.5958,595.8
0.5864,586.4
0.6032,603.2
0.5904,590.4
0.5966,596.6
0.6006,600.6
0.594,594
0.5988,598.8
0.592,592
0.598,598
0.5942,594.2
0.5934,593.4
