"avg_prop_infected","avg_num_infected"
0.442,442
0.5194,519.4
0.5626,562.6
0.5814,581.4
0.5886,588.6
0.5912,591.2
0.5912,591.2
0.593,593
0.5894,589.4
0.5976,597.6
0.5928,592.8
0.5974,597.4
0.5944,594.4
0.6012,601.2
0.604,604
0.5978,597.8
0.5884,588.4
0.5902,590.2
0.5834,583.4
0.5902,590.2
0.588,588
0.5868,586.8
0.5904,590.4
0.593,593
0.5824,582.4
0.5856,585.6
0.5904,590.4
0.5842,584.2
0.5878,587.8
0.5938,593.8
0.6006,600.6
0.594,594
0.588,588
0.5946,594.6
0.59,590
0.594,594
0.5904,590.4
0.5854,585.4
0.6024,602.4
0.584,584
0.5976,597.6
0.595,595
0.5894,589.4
0.5942,594.2
0.5942,594.2
0.595,595
0.6,600
0.6,600
0.5904,590.4
0.5906,590.6
0.5976,597.6
0.6,600
0.5984,598.4
0.5942,594.2
0.5882,588.2
0.5872,587.2
0.5916,591.6
0.5848,584.8
0.593,593
0.5926,592.6
0.5908,590.8
0.5942,594.2
0.5992,599.2
0.6,600
0.5952,595.2
0.5914,591.4
0.5844,584.4
0.5922,592.2
0.5916,591.6
0.5896,589.6
0.5878,587.8
0.5964,596.4
0.5926,592.6
0.5852,585.2
0.5928,592.8
0.5966,596.6
0.5966,596.6
0.5878,587.8
0.5764,576.4
0.5854,585.4
0.5904,590.4
0.5914,591.4
0.5954,595.4
0.5944,594.4
0.5896,589.6
0.593,593
0.59,590
0.5994,599.4
0.5874,587.4
0.5942,594.2
0.5902,590.2
0.5936,593.6
0.5902,590.2
0.5948,594.8
0.5922,592.2
0.5848,584.8
0.5872,587.2
0.5942,594.2
0.5892,589.2
0.5812,581.2
