"avg_prop_infected","avg_num_infected"
0.4244,424.4
0.4998,499.8
0.5382,538.2
0.5686,568.6
0.5762,576.2
0.5938,593.8
0.5906,590.6
0.6024,602.4
0.59,590
0.5972,597.2
0.5958,595.8
0.59,590
0.596,596
0.5972,597.2
0.5934,593.4
0.5988,598.8
0.5932,593.2
0.6062,606.2
0.6052,605.2
0.5972,597.2
0.594,594
0.6016,601.6
0.5956,595.6
0.5982,598.2
0.5978,597.8
0.6008,600.8
0.591,591
0.596,596
0.5914,591.4
0.6,600
0.59,590
0.6004,600.4
0.6046,604.6
0.5962,596.2
0.5928,592.8
0.5838,583.8
0.5884,588.4
0.5922,592.2
0.593,593
0.5966,596.6
0.5952,595.2
0.595,595
0.59,590
0.5844,584.4
0.6004,600.4
0.5928,592.8
0.5886,588.6
0.6014,601.4
0.5966,596.6
0.5822,582.2
0.5928,592.8
0.597,597
0.5954,595.4
0.5936,593.6
0.5998,599.8
0.6062,606.2
0.5992,599.2
0.6042,604.2
0.5914,591.4
0.588,588
0.5976,597.6
0.5992,599.2
0.5976,597.6
0.5942,594.2
0.5854,585.4
0.599,599
0.583,583
0.594,594
0.5876,587.6
0.5926,592.6
0.5944,594.4
0.586,586
0.601,601
0.6014,601.4
0.5976,597.6
0.5824,582.4
0.5876,587.6
0.5932,593.2
0.5874,587.4
0.5956,595.6
0.5902,590.2
0.5878,587.8
0.5938,593.8
0.5936,593.6
0.5946,594.6
0.5934,593.4
0.5944,594.4
0.5914,591.4
0.5906,590.6
0.5948,594.8
0.5934,593.4
0.5836,583.6
0.5866,586.6
0.5868,586.8
0.5782,578.2
0.594,594
0.5956,595.6
0.5942,594.2
0.5926,592.6
0.5944,594.4
