"avg_prop_infected","avg_num_infected"
0.4436,443.6
0.521,521
0.5594,559.4
0.5754,575.4
0.5798,579.8
0.5876,587.6
0.5938,593.8
0.588,588
0.5946,594.6
0.597,597
0.5904,590.4
0.595,595
0.5964,596.4
0.592,592
0.5902,590.2
0.595,595
0.6076,607.6
0.5952,595.2
0.5898,589.8
0.586,586
0.5884,588.4
0.5904,590.4
0.584,584
0.596,596
0.5978,597.8
0.595,595
0.5926,592.6
0.5878,587.8
0.597,597
0.5966,596.6
0.5902,590.2
0.5878,587.8
0.5982,598.2
0.5882,588.2
0.5964,596.4
0.5878,587.8
0.5818,581.8
0.5866,586.6
0.5884,588.4
0.5982,598.2
0.589,589
0.5908,590.8
0.5836,583.6
0.5908,590.8
0.5842,584.2
0.5928,592.8
0.5938,593.8
0.586,586
0.5848,584.8
0.5944,594.4
0.5892,589.2
0.5932,593.2
0.59,590
0.5944,594.4
0.5906,590.6
0.5928,592.8
0.5856,585.6
0.595,595
0.5986,598.6
0.5866,586.6
0.5852,585.2
0.587,587
0.5908,590.8
0.5864,586.4
0.5868,586.8
0.5856,585.6
0.5958,595.8
0.5872,587.2
0.5954,595.4
0.5784,578.4
0.5902,590.2
0.5868,586.8
0.5904,590.4
0.5882,588.2
0.5822,582.2
0.595,595
0.5878,587.8
0.5906,590.6
0.5958,595.8
0.6,600
0.5956,595.6
0.5908,590.8
0.5994,599.4
0.589,589
0.5894,589.4
0.5946,594.6
0.5948,594.8
0.6008,600.8
0.5834,583.4
0.5984,598.4
0.5924,592.4
0.5852,585.2
0.5982,598.2
0.59,590
0.602,602
0.582,582
0.5864,586.4
0.596,596
0.5894,589.4
0.5892,589.2
