"avg_prop_infected","avg_num_infected"
0.4492,449.2
0.5184,518.4
0.5512,551.2
0.5754,575.4
0.5776,577.6
0.5868,586.8
0.595,595
0.5904,590.4
0.5932,593.2
0.5956,595.6
0.6038,603.8
0.5898,589.8
0.599,599
0.592,592
0.589,589
0.5922,592.2
0.5932,593.2
0.5932,593.2
0.5906,590.6
0.592,592
0.5982,598.2
0.5946,594.6
0.5874,587.4
0.598,598
0.596,596
0.593,593
0.5812,581.2
0.5924,592.4
0.585,585
0.5738,573.8
0.5812,581.2
0.5876,587.6
0.5872,587.2
0.5924,592.4
0.591,591
0.5846,584.6
0.5878,587.8
0.5928,592.8
0.597,597
0.6004,600.4
0.5918,591.8
0.5898,589.8
0.5836,583.6
0.5842,584.2
0.5928,592.8
0.5852,585.2
0.5954,595.4
0.5868,586.8
0.6022,602.2
0.5944,594.4
0.599,599
0.5822,582.2
0.5912,591.2
0.5858,585.8
0.5888,588.8
0.5932,593.2
0.5836,583.6
0.5916,591.6
0.593,593
0.5874,587.4
0.5952,595.2
0.589,589
0.5824,582.4
0.5948,594.8
0.59,590
0.5856,585.6
0.596,596
0.5806,580.6
0.5906,590.6
0.594,594
0.5936,593.6
0.5908,590.8
0.5876,587.6
0.5888,588.8
0.5948,594.8
0.594,594
0.5904,590.4
0.583,583
0.5894,589.4
0.597,597
0.5946,594.6
0.5912,591.2
0.5964,596.4
0.5956,595.6
0.5892,589.2
0.5902,590.2
0.5934,593.4
0.599,599
0.5846,584.6
0.585,585
0.5822,582.2
0.5812,581.2
0.5904,590.4
0.597,597
0.592,592
0.5922,592.2
0.5934,593.4
0.588,588
0.587,587
0.5894,589.4
