"avg_prop_infected","avg_num_infected"
0.3458,345.8
0.4296,429.6
0.4754,475.4
0.5046,504.6
0.551,551
0.573,573
0.5924,592.4
0.6136,613.6
0.6154,615.4
0.6292,629.2
0.65,650
0.6506,650.6
0.6482,648.2
0.6588,658.8
0.6626,662.6
0.6704,670.4
0.6774,677.4
0.6874,687.4
0.6786,678.6
0.6964,696.4
0.6968,696.8
0.694,694
0.6914,691.4
0.7016,701.6
0.7022,702.2
0.698,698
0.7004,700.4
0.6964,696.4
0.7088,708.8
0.7062,706.2
0.6958,695.8
0.7096,709.6
0.6964,696.4
0.6926,692.6
0.6972,697.2
0.7016,701.6
0.695,695
0.7022,702.2
0.6958,695.8
0.701,701
0.7094,709.4
0.7086,708.6
0.704,704
0.7076,707.6
0.694,694
0.7006,700.6
0.7082,708.2
0.7112,711.2
0.6964,696.4
0.7064,706.4
0.6942,694.2
0.6954,695.4
0.6966,696.6
0.7096,709.6
0.699,699
0.7154,715.4
0.7048,704.8
0.6968,696.8
0.686,686
0.6918,691.8
0.6974,697.4
0.7084,708.4
0.7054,705.4
0.7106,710.6
0.699,699
0.7022,702.2
0.7076,707.6
0.699,699
0.6978,697.8
0.705,705
0.6958,695.8
0.6922,692.2
0.7034,703.4
0.705,705
0.6962,696.2
0.7068,706.8
0.7062,706.2
0.7112,711.2
0.7044,704.4
0.708,708
0.718,718
0.7048,704.8
0.71,710
0.714,714
0.7146,714.6
0.712,712
0.7146,714.6
0.7098,709.8
0.7038,703.8
0.7078,707.8
0.7014,701.4
0.7036,703.6
0.7144,714.4
0.7024,702.4
0.7064,706.4
0.7086,708.6
0.7086,708.6
0.7,700
0.7054,705.4
0.7012,701.2
