"avg_prop_infected","avg_num_infected"
0.3486,348.6
0.4242,424.2
0.4784,478.4
0.5192,519.2
0.5456,545.6
0.5656,565.6
0.59,590
0.6058,605.8
0.6272,627.2
0.636,636
0.6486,648.6
0.661,661
0.666,666
0.6616,661.6
0.6638,663.8
0.6718,671.8
0.6768,676.8
0.679,679
0.683,683
0.6812,681.2
0.6796,679.6
0.6828,682.8
0.6916,691.6
0.676,676
0.6848,684.8
0.6922,692.2
0.6912,691.2
0.6844,684.4
0.6874,687.4
0.6894,689.4
0.6906,690.6
0.6922,692.2
0.6952,695.2
0.6938,693.8
0.6918,691.8
0.7076,707.6
0.708,708
0.6982,698.2
0.6874,687.4
0.6892,689.2
0.698,698
0.6922,692.2
0.6966,696.6
0.702,702
0.7072,707.2
0.7078,707.8
0.7008,700.8
0.6958,695.8
0.6932,693.2
0.7038,703.8
0.704,704
0.6912,691.2
0.6922,692.2
0.693,693
0.6928,692.8
0.6984,698.4
0.701,701
0.7008,700.8
0.695,695
0.698,698
0.6984,698.4
0.7018,701.8
0.7016,701.6
0.7108,710.8
0.7,700
0.6922,692.2
0.7046,704.6
0.7068,706.8
0.7052,705.2
0.6974,697.4
0.6972,697.2
0.6824,682.4
0.6922,692.2
0.6908,690.8
0.6968,696.8
0.6846,684.6
0.6936,693.6
0.6998,699.8
0.6884,688.4
0.6952,695.2
0.6946,694.6
0.6954,695.4
0.7078,707.8
0.6892,689.2
0.685,685
0.6942,694.2
0.7048,704.8
0.7126,712.6
0.7036,703.6
0.6972,697.2
0.7024,702.4
0.6964,696.4
0.6998,699.8
0.6982,698.2
0.6998,699.8
0.7062,706.2
0.7004,700.4
0.7014,701.4
0.6968,696.8
0.7046,704.6
