"avg_prop_infected","avg_num_infected"
0.356,356
0.4286,428.6
0.4764,476.4
0.5176,517.6
0.5522,552.2
0.5796,579.6
0.5976,597.6
0.6126,612.6
0.6306,630.6
0.637,637
0.645,645
0.658,658
0.6592,659.2
0.6678,667.8
0.6742,674.2
0.6732,673.2
0.6746,674.6
0.6682,668.2
0.673,673
0.669,669
0.6752,675.2
0.6814,681.4
0.6834,683.4
0.6942,694.2
0.69,690
0.6838,683.8
0.6944,694.4
0.6808,680.8
0.6864,686.4
0.6904,690.4
0.6872,687.2
0.673,673
0.686,686
0.6846,684.6
0.6918,691.8
0.6954,695.4
0.705,705
0.6824,682.4
0.6928,692.8
0.7054,705.4
0.7074,707.4
0.6968,696.8
0.694,694
0.6966,696.6
0.6828,682.8
0.6832,683.2
0.6946,694.6
0.7018,701.8
0.6988,698.8
0.6956,695.6
0.6884,688.4
0.6868,686.8
0.6934,693.4
0.6954,695.4
0.6938,693.8
0.6942,694.2
0.6968,696.8
0.6892,689.2
0.692,692
0.6818,681.8
0.6842,684.2
0.6862,686.2
0.6932,693.2
0.7012,701.2
0.698,698
0.689,689
0.6888,688.8
0.7026,702.6
0.6942,694.2
0.6934,693.4
0.6894,689.4
0.6988,698.8
0.7024,702.4
0.7012,701.2
0.6926,692.6
0.6964,696.4
0.6902,690.2
0.6948,694.8
0.6998,699.8
0.6972,697.2
0.6996,699.6
0.7082,708.2
0.6968,696.8
0.7028,702.8
0.701,701
0.7,700
0.6964,696.4
0.6956,695.6
0.6922,692.2
0.695,695
0.6906,690.6
0.6972,697.2
0.6906,690.6
0.6952,695.2
0.699,699
0.702,702
0.697,697
0.6904,690.4
0.696,696
0.6994,699.4
