"avg_prop_infected","avg_num_infected"
0.3572,357.2
0.4138,413.8
0.4706,470.6
0.508,508
0.5376,537.6
0.575,575
0.5896,589.6
0.612,612
0.61,610
0.619,619
0.6372,637.2
0.6462,646.2
0.65,650
0.6588,658.8
0.6672,667.2
0.6758,675.8
0.6596,659.6
0.6726,672.6
0.671,671
0.6862,686.2
0.6896,689.6
0.6888,688.8
0.6914,691.4
0.683,683
0.6836,683.6
0.7056,705.6
0.696,696
0.6988,698.8
0.6956,695.6
0.695,695
0.6994,699.4
0.6952,695.2
0.6938,693.8
0.7016,701.6
0.699,699
0.692,692
0.6948,694.8
0.7022,702.2
0.6934,693.4
0.6924,692.4
0.6924,692.4
0.696,696
0.6868,686.8
0.6846,684.6
0.6944,694.4
0.6974,697.4
0.6856,685.6
0.6848,684.8
0.6944,694.4
0.6828,682.8
0.6996,699.6
0.6986,698.6
0.6884,688.4
0.6936,693.6
0.6896,689.6
0.6814,681.4
0.68,680
0.6966,696.6
0.6814,681.4
0.6892,689.2
0.6964,696.4
0.7008,700.8
0.6876,687.6
0.6946,694.6
0.696,696
0.6976,697.6
0.6998,699.8
0.701,701
0.7088,708.8
0.7042,704.2
0.7018,701.8
0.6926,692.6
0.6906,690.6
0.698,698
0.7,700
0.6966,696.6
0.6842,684.2
0.6824,682.4
0.6906,690.6
0.6952,695.2
0.696,696
0.696,696
0.6974,697.4
0.7024,702.4
0.6944,694.4
0.6904,690.4
0.7062,706.2
0.6968,696.8
0.6984,698.4
0.6922,692.2
0.6884,688.4
0.6866,686.6
0.7014,701.4
0.7054,705.4
0.7022,702.2
0.7046,704.6
0.7006,700.6
0.6964,696.4
0.704,704
0.6964,696.4
