"avg_prop_infected","avg_num_infected"
0.3814,381.4
0.4494,449.4
0.505,505
0.526,526
0.5626,562.6
0.5874,587.4
0.6066,606.6
0.6146,614.6
0.6302,630.2
0.6344,634.4
0.6462,646.2
0.6448,644.8
0.6482,648.2
0.6568,656.8
0.6596,659.6
0.6608,660.8
0.6648,664.8
0.6708,670.8
0.6786,678.6
0.6788,678.8
0.689,689
0.6856,685.6
0.6862,686.2
0.6978,697.8
0.6966,696.6
0.688,688
0.6888,688.8
0.6946,694.6
0.7104,710.4
0.6972,697.2
0.6948,694.8
0.692,692
0.6984,698.4
0.7044,704.4
0.6986,698.6
0.7004,700.4
0.6982,698.2
0.712,712
0.7014,701.4
0.7018,701.8
0.7078,707.8
0.7016,701.6
0.6942,694.2
0.694,694
0.7028,702.8
0.705,705
0.7092,709.2
0.6994,699.4
0.708,708
0.701,701
0.691,691
0.7066,706.6
0.6978,697.8
0.7036,703.6
0.7042,704.2
0.7022,702.2
0.6972,697.2
0.6872,687.2
0.6932,693.2
0.7028,702.8
0.7038,703.8
0.7022,702.2
0.7032,703.2
0.6992,699.2
0.7,700
0.701,701
0.7016,701.6
0.6904,690.4
0.6968,696.8
0.7014,701.4
0.7064,706.4
0.7076,707.6
0.7024,702.4
0.7024,702.4
0.6954,695.4
0.7036,703.6
0.6872,687.2
0.6892,689.2
0.6914,691.4
0.6908,690.8
0.6982,698.2
0.6916,691.6
0.6876,687.6
0.69,690
0.6816,681.6
0.6978,697.8
0.6928,692.8
0.6846,684.6
0.6866,686.6
0.6918,691.8
0.6914,691.4
0.6994,699.4
0.6914,691.4
0.6946,694.6
0.7026,702.6
0.7032,703.2
0.7068,706.8
0.7108,710.8
0.7028,702.8
0.7006,700.6
