"avg_prop_infected","avg_num_infected"
0.3646,364.6
0.4254,425.4
0.464,464
0.5078,507.8
0.5472,547.2
0.5734,573.4
0.605,605
0.6114,611.4
0.6218,621.8
0.6366,636.6
0.6456,645.6
0.6504,650.4
0.6552,655.2
0.6686,668.6
0.6722,672.2
0.68,680
0.6796,679.6
0.6738,673.8
0.6734,673.4
0.6872,687.2
0.6968,696.8
0.7016,701.6
0.6964,696.4
0.7048,704.8
0.6992,699.2
0.6984,698.4
0.7084,708.4
0.7062,706.2
0.7006,700.6
0.6982,698.2
0.7038,703.8
0.696,696
0.6952,695.2
0.7008,700.8
0.7088,708.8
0.7058,705.8
0.6988,698.8
0.7036,703.6
0.701,701
0.7046,704.6
0.7068,706.8
0.6994,699.4
0.6954,695.4
0.696,696
0.697,697
0.7032,703.2
0.7018,701.8
0.7014,701.4
0.7002,700.2
0.6978,697.8
0.6928,692.8
0.701,701
0.71,710
0.712,712
0.7064,706.4
0.7076,707.6
0.7052,705.2
0.7074,707.4
0.7052,705.2
0.7012,701.2
0.7098,709.8
0.7036,703.6
0.7088,708.8
0.704,704
0.699,699
0.7006,700.6
0.7004,700.4
0.6966,696.6
0.6932,693.2
0.7082,708.2
0.6988,698.8
0.7012,701.2
0.6918,691.8
0.7038,703.8
0.7064,706.4
0.7044,704.4
0.7044,704.4
0.7064,706.4
0.704,704
0.7052,705.2
0.7086,708.6
0.702,702
0.7008,700.8
0.7034,703.4
0.7066,706.6
0.7022,702.2
0.7,700
0.6898,689.8
0.6892,689.2
0.6892,689.2
0.7166,716.6
0.7124,712.4
0.7058,705.8
0.7024,702.4
0.6948,694.8
0.698,698
0.7006,700.6
0.6954,695.4
0.6966,696.6
0.693,693
