"avg_prop_infected","avg_num_infected"
0.3614,361.4
0.4156,415.6
0.4736,473.6
0.5226,522.6
0.5478,547.8
0.5748,574.8
0.604,604
0.614,614
0.6178,617.8
0.6416,641.6
0.6402,640.2
0.6528,652.8
0.658,658
0.6602,660.2
0.671,671
0.6778,677.8
0.6728,672.8
0.6778,677.8
0.6792,679.2
0.6822,682.2
0.6962,696.2
0.696,696
0.702,702
0.6962,696.2
0.7056,705.6
0.7022,702.2
0.7002,700.2
0.7028,702.8
0.6986,698.6
0.7048,704.8
0.6934,693.4
0.702,702
0.7084,708.4
0.7044,704.4
0.7036,703.6
0.7066,706.6
0.7002,700.2
0.703,703
0.7024,702.4
0.7136,713.6
0.7116,711.6
0.7046,704.6
0.7042,704.2
0.7008,700.8
0.6972,697.2
0.704,704
0.6952,695.2
0.6908,690.8
0.6992,699.2
0.6992,699.2
0.696,696
0.697,697
0.7028,702.8
0.6914,691.4
0.7036,703.6
0.7068,706.8
0.7082,708.2
0.7054,705.4
0.7116,711.6
0.7094,709.4
0.7134,713.4
0.6984,698.4
0.6938,693.8
0.691,691
0.7086,708.6
0.6988,698.8
0.6982,698.2
0.7052,705.2
0.706,706
0.71,710
0.697,697
0.697,697
0.6894,689.4
0.6984,698.4
0.6992,699.2
0.6994,699.4
0.7116,711.6
0.7062,706.2
0.708,708
0.708,708
0.6966,696.6
0.7066,706.6
0.7054,705.4
0.7024,702.4
0.7012,701.2
0.6946,694.6
0.697,697
0.7036,703.6
0.702,702
0.6986,698.6
0.6974,697.4
0.7,700
0.7038,703.8
0.7026,702.6
0.6948,694.8
0.7034,703.4
0.6992,699.2
0.702,702
0.7146,714.6
0.7014,701.4
