"avg_prop_infected","avg_num_infected"
0.9992,999.2
0.999,999
0.9992,999.2
0.9992,999.2
0.9996,999.6
0.9992,999.2
0.9998,999.8
0.9992,999.2
0.999,999
0.9992,999.2
0.999,999
0.9996,999.6
0.9992,999.2
0.9996,999.6
0.999,999
1,1000
0.9996,999.6
0.9996,999.6
0.999,999
0.9992,999.2
0.9996,999.6
0.9994,999.4
0.9994,999.4
0.9986,998.6
0.999,999
1,1000
0.9992,999.2
0.9992,999.2
0.9994,999.4
0.9996,999.6
0.9994,999.4
0.9992,999.2
0.9998,999.8
0.9994,999.4
0.9994,999.4
0.9994,999.4
0.9992,999.2
0.9996,999.6
0.9996,999.6
0.9992,999.2
0.9992,999.2
0.9998,999.8
1,1000
0.9998,999.8
0.9998,999.8
0.9994,999.4
0.999,999
0.9998,999.8
0.9992,999.2
0.9992,999.2
0.9992,999.2
0.9992,999.2
0.9992,999.2
0.9994,999.4
1,1000
0.9998,999.8
1,1000
0.999,999
0.9996,999.6
0.9994,999.4
0.9994,999.4
0.9992,999.2
0.9996,999.6
0.9992,999.2
0.9994,999.4
0.999,999
0.9994,999.4
0.9992,999.2
0.9992,999.2
0.9992,999.2
0.9994,999.4
0.9994,999.4
0.9992,999.2
0.9994,999.4
0.9992,999.2
1,1000
0.9992,999.2
0.9994,999.4
0.9996,999.6
0.9992,999.2
1,1000
0.9992,999.2
0.9996,999.6
0.9994,999.4
0.9996,999.6
0.9992,999.2
0.9992,999.2
0.9994,999.4
0.9994,999.4
0.9996,999.6
0.999,999
0.9994,999.4
0.9994,999.4
0.9996,999.6
0.9992,999.2
0.9988,998.8
0.9998,999.8
0.9992,999.2
1,1000
0.9996,999.6
