"avg_prop_infected","avg_num_infected"
0.007,7
0.008,8
0.0106,10.6
0.0114,11.4
0.013,13
0.0152,15.2
0.0174,17.4
0.0192,19.2
0.0226,22.6
0.0224,22.4
0.024,24
0.0222,22.2
0.0244,24.4
0.0266,26.6
0.0292,29.2
0.03,30
0.0316,31.6
0.0326,32.6
0.0344,34.4
0.0344,34.4
0.0404,40.4
0.0418,41.8
0.045,45
0.045,45
0.0452,45.2
0.0512,51.2
0.0524,52.4
0.0536,53.6
0.0538,53.8
0.0584,58.4
0.0602,60.2
0.0602,60.2
0.0638,63.8
0.0646,64.6
0.0648,64.8
0.065,65
0.0656,65.6
0.0672,67.2
0.0698,69.8
0.0692,69.2
0.0734,73.4
0.0748,74.8
0.0754,75.4
0.0758,75.8
0.0782,78.2
0.0818,81.8
0.0856,85.6
0.09,90
0.0898,89.8
0.0896,89.6
0.0918,91.8
0.092,92
0.0912,91.2
0.0992,99.2
0.1024,102.4
0.0992,99.2
0.1064,106.4
0.1058,105.8
0.107,107
0.1102,110.2
0.1122,112.2
0.1078,107.8
0.1116,111.6
0.1164,116.4
0.114,114
0.1204,120.4
0.1194,119.4
0.1192,119.2
0.126,126
0.1248,124.8
0.1272,127.2
0.1282,128.2
0.1302,130.2
0.1328,132.8
0.1334,133.4
0.1378,137.8
0.1346,134.6
0.1382,138.2
0.138,138
0.139,139
0.14,140
0.1392,139.2
0.1416,141.6
0.1398,139.8
0.1414,141.4
0.1456,145.6
0.1498,149.8
0.1506,150.6
0.1534,153.4
0.154,154
0.158,158
0.1594,159.4
0.1588,158.8
0.1608,160.8
0.1584,158.4
0.1556,155.6
0.1654,165.4
0.161,161
0.1618,161.8
0.1624,162.4
