"avg_prop_infected","avg_num_infected"
0.0052,5.2
0.0084,8.4
0.0086,8.6
0.011,11
0.0126,12.6
0.0124,12.4
0.0136,13.6
0.0162,16.2
0.0192,19.2
0.022,22
0.0224,22.4
0.0214,21.4
0.0246,24.6
0.0264,26.4
0.0264,26.4
0.0276,27.6
0.0292,29.2
0.0324,32.4
0.0324,32.4
0.0344,34.4
0.0352,35.2
0.0336,33.6
0.0386,38.6
0.0404,40.4
0.042,42
0.0464,46.4
0.0452,45.2
0.0472,47.2
0.0486,48.6
0.0496,49.6
0.055,55
0.0586,58.6
0.0556,55.6
0.062,62
0.063,63
0.0632,63.2
0.063,63
0.0654,65.4
0.065,65
0.068,68
0.0682,68.2
0.0666,66.6
0.0714,71.4
0.0744,74.4
0.077,77
0.0788,78.8
0.0784,78.4
0.0814,81.4
0.0796,79.6
0.0852,85.2
0.085,85
0.0868,86.8
0.0886,88.6
0.0902,90.2
0.0924,92.4
0.0912,91.2
0.0934,93.4
0.0928,92.8
0.0972,97.2
0.0966,96.6
0.0998,99.8
0.0996,99.6
0.1012,101.2
0.0988,98.8
0.1014,101.4
0.1014,101.4
0.1056,105.6
0.1078,107.8
0.1012,101.2
0.1028,102.8
0.0996,99.6
0.1018,101.8
0.1052,105.2
0.105,105
0.1054,105.4
0.1088,108.8
0.1114,111.4
0.113,113
0.1084,108.4
0.1064,106.4
0.1082,108.2
0.1108,110.8
0.1088,108.8
0.1128,112.8
0.1134,113.4
0.1148,114.8
0.117,117
0.121,121
0.1212,121.2
0.1202,120.2
0.1156,115.6
0.118,118
0.119,119
0.1174,117.4
0.119,119
0.118,118
0.1228,122.8
0.1236,123.6
0.1252,125.2
0.1264,126.4
