"avg_prop_infected","avg_num_infected"
0.0042,4.2
0.0066,6.6
0.0084,8.4
0.0112,11.2
0.0134,13.4
0.0152,15.2
0.0186,18.6
0.0188,18.8
0.0194,19.4
0.0202,20.2
0.0222,22.2
0.0246,24.6
0.0278,27.8
0.029,29
0.0318,31.8
0.0338,33.8
0.0372,37.2
0.0378,37.8
0.0368,36.8
0.0396,39.6
0.0398,39.8
0.0458,45.8
0.0466,46.6
0.0476,47.6
0.0508,50.8
0.0538,53.8
0.056,56
0.0584,58.4
0.06,60
0.0606,60.6
0.0618,61.8
0.0616,61.6
0.0626,62.6
0.0662,66.2
0.0692,69.2
0.07,70
0.0724,72.4
0.0722,72.2
0.0734,73.4
0.0756,75.6
0.0806,80.6
0.079,79
0.0792,79.2
0.0802,80.2
0.0832,83.2
0.0888,88.8
0.0892,89.2
0.0896,89.6
0.0876,87.6
0.0868,86.8
0.0896,89.6
0.093,93
0.0944,94.4
0.0978,97.8
0.0972,97.2
0.099,99
0.1008,100.8
0.1032,103.2
0.1056,105.6
0.1018,101.8
0.1016,101.6
0.1066,106.6
0.1048,104.8
0.1056,105.6
0.109,109
0.1134,113.4
0.11,110
0.1152,115.2
0.1138,113.8
0.1162,116.2
0.1154,115.4
0.114,114
0.1144,114.4
0.1162,116.2
0.1174,117.4
0.118,118
0.1182,118.2
0.128,128
0.127,127
0.126,126
0.125,125
0.1234,123.4
0.1252,125.2
0.1268,126.8
0.1262,126.2
0.128,128
0.1278,127.8
0.1302,130.2
0.1278,127.8
0.1294,129.4
0.1282,128.2
0.1318,131.8
0.1292,129.2
0.1356,135.6
0.1396,139.6
0.1386,138.6
0.1404,140.4
0.1364,136.4
0.1394,139.4
0.1406,140.6
