"avg_prop_infected","avg_num_infected"
0.0076,7.6
0.0096,9.6
0.0108,10.8
0.0134,13.4
0.018,18
0.0214,21.4
0.021,21
0.0228,22.8
0.0236,23.6
0.026,26
0.026,26
0.028,28
0.0286,28.6
0.0332,33.2
0.033,33
0.034,34
0.037,37
0.0364,36.4
0.0394,39.4
0.0412,41.2
0.0446,44.6
0.0488,48.8
0.049,49
0.0492,49.2
0.0522,52.2
0.0552,55.2
0.054,54
0.0552,55.2
0.0568,56.8
0.058,58
0.0582,58.2
0.059,59
0.0604,60.4
0.061,61
0.0632,63.2
0.069,69
0.0728,72.8
0.0728,72.8
0.0756,75.6
0.0762,76.2
0.0772,77.2
0.0796,79.6
0.0818,81.8
0.0822,82.2
0.0808,80.8
0.0832,83.2
0.0844,84.4
0.0864,86.4
0.085,85
0.0842,84.2
0.0854,85.4
0.0888,88.8
0.0906,90.6
0.0878,87.8
0.0886,88.6
0.0932,93.2
0.0942,94.2
0.0916,91.6
0.0924,92.4
0.0914,91.4
0.0948,94.8
0.0948,94.8
0.0982,98.2
0.0996,99.6
0.0996,99.6
0.0986,98.6
0.1,100
0.0962,96.2
0.0974,97.4
0.103,103
0.1056,105.6
0.105,105
0.1102,110.2
0.1084,108.4
0.1114,111.4
0.112,112
0.1116,111.6
0.1162,116.2
0.1142,114.2
0.1186,118.6
0.1156,115.6
0.1138,113.8
0.115,115
0.117,117
0.119,119
0.1156,115.6
0.1196,119.6
0.1208,120.8
0.1202,120.2
0.1204,120.4
0.1216,121.6
0.1224,122.4
0.1234,123.4
0.1254,125.4
0.1282,128.2
0.1262,126.2
0.1286,128.6
0.132,132
0.1332,133.2
0.132,132
