"avg_prop_infected","avg_num_infected"
0.0038,3.8
0.0052,5.2
0.0062,6.2
0.0068,6.8
0.0072,7.2
0.0082,8.2
0.0082,8.2
0.0096,9.6
0.0108,10.8
0.011,11
0.0128,12.8
0.014,14
0.0154,15.4
0.0158,15.8
0.0162,16.2
0.018,18
0.019,19
0.0204,20.4
0.0236,23.6
0.0238,23.8
0.0234,23.4
0.0246,24.6
0.026,26
0.0264,26.4
0.0276,27.6
0.0292,29.2
0.0278,27.8
0.032,32
0.0334,33.4
0.0364,36.4
0.0356,35.6
0.0386,38.6
0.041,41
0.0402,40.2
0.0414,41.4
0.0428,42.8
0.0428,42.8
0.045,45
0.0468,46.8
0.046,46
0.0458,45.8
0.0506,50.6
0.05,50
0.0512,51.2
0.0524,52.4
0.0488,48.8
0.051,51
0.05,50
0.054,54
0.0534,53.4
0.053,53
0.054,54
0.0564,56.4
0.0556,55.6
0.0542,54.2
0.058,58
0.0608,60.8
0.0672,67.2
0.0688,68.8
0.0708,70.8
0.0764,76.4
0.077,77
0.0786,78.6
0.0784,78.4
0.081,81
0.08,80
0.0818,81.8
0.0854,85.4
0.0846,84.6
0.0878,87.8
0.0888,88.8
0.0924,92.4
0.096,96
0.0954,95.4
0.092,92
0.095,95
0.0952,95.2
0.0926,92.6
0.098,98
0.0972,97.2
0.1022,102.2
0.0994,99.4
0.1012,101.2
0.1038,103.8
0.1104,110.4
0.1098,109.8
0.1094,109.4
0.111,111
0.1142,114.2
0.1106,110.6
0.1138,113.8
0.1144,114.4
0.1132,113.2
0.1142,114.2
0.1172,117.2
0.1188,118.8
0.1194,119.4
0.122,122
0.128,128
0.131,131
