"avg_prop_infected","avg_num_infected"
0.005,5
0.0068,6.8
0.0092,9.2
0.0104,10.4
0.0118,11.8
0.012,12
0.0134,13.4
0.014,14
0.015,15
0.0164,16.4
0.0174,17.4
0.0166,16.6
0.0182,18.2
0.0188,18.8
0.0204,20.4
0.0218,21.8
0.0224,22.4
0.026,26
0.0262,26.2
0.0252,25.2
0.028,28
0.0302,30.2
0.0298,29.8
0.0286,28.6
0.0334,33.4
0.0304,30.4
0.0314,31.4
0.034,34
0.0342,34.2
0.0346,34.6
0.0366,36.6
0.0386,38.6
0.0374,37.4
0.0394,39.4
0.0406,40.6
0.042,42
0.0458,45.8
0.0468,46.8
0.0456,45.6
0.0458,45.8
0.0458,45.8
0.0474,47.4
0.0488,48.8
0.0506,50.6
0.0538,53.8
0.0552,55.2
0.0564,56.4
0.0546,54.6
0.0564,56.4
0.0594,59.4
0.062,62
0.06,60
0.0598,59.8
0.0622,62.2
0.0642,64.2
0.0674,67.4
0.0682,68.2
0.0688,68.8
0.0706,70.6
0.07,70
0.0704,70.4
0.069,69
0.0696,69.6
0.0728,72.8
0.0712,71.2
0.0736,73.6
0.0744,74.4
0.0768,76.8
0.0808,80.8
0.0798,79.8
0.0816,81.6
0.0768,76.8
0.0776,77.6
0.0828,82.8
0.0852,85.2
0.0866,86.6
0.0872,87.2
0.089,89
0.0848,84.8
0.0886,88.6
0.0896,89.6
0.09,90
0.0908,90.8
0.0944,94.4
0.0926,92.6
0.094,94
0.0958,95.8
0.0966,96.6
0.098,98
0.0966,96.6
0.0978,97.8
0.0982,98.2
0.1002,100.2
0.1022,102.2
0.102,102
0.103,103
0.105,105
0.109,109
0.1102,110.2
0.1088,108.8
