"avg_prop_infected","avg_num_infected"
0.0048,4.8
0.0052,5.2
0.0074,7.4
0.011,11
0.013,13
0.0138,13.8
0.0166,16.6
0.0194,19.4
0.0234,23.4
0.0268,26.8
0.028,28
0.0278,27.8
0.0278,27.8
0.0314,31.4
0.0334,33.4
0.0346,34.6
0.035,35
0.0372,37.2
0.0388,38.8
0.041,41
0.0404,40.4
0.0396,39.6
0.0442,44.2
0.0456,45.6
0.0492,49.2
0.05,50
0.0534,53.4
0.0552,55.2
0.0592,59.2
0.0572,57.2
0.0584,58.4
0.06,60
0.0612,61.2
0.0606,60.6
0.063,63
0.0664,66.4
0.0684,68.4
0.0722,72.2
0.0684,68.4
0.0742,74.2
0.0758,75.8
0.0714,71.4
0.075,75
0.078,78
0.0792,79.2
0.077,77
0.0804,80.4
0.0846,84.6
0.0808,80.8
0.084,84
0.0852,85.2
0.0876,87.6
0.0888,88.8
0.0882,88.2
0.0884,88.4
0.091,91
0.0924,92.4
0.0938,93.8
0.0968,96.8
0.0978,97.8
0.0994,99.4
0.103,103
0.1048,104.8
0.1062,106.2
0.107,107
0.1058,105.8
0.1052,105.2
0.1066,106.6
0.109,109
0.1116,111.6
0.1124,112.4
0.1176,117.6
0.1132,113.2
0.1094,109.4
0.1106,110.6
0.114,114
0.1134,113.4
0.11,110
0.1132,113.2
0.1108,110.8
0.1146,114.6
0.1182,118.2
0.1202,120.2
0.1222,122.2
0.1192,119.2
0.119,119
0.1216,121.6
0.1224,122.4
0.124,124
0.128,128
0.1284,128.4
0.1272,127.2
0.126,126
0.1278,127.8
0.1312,131.2
0.1276,127.6
0.1298,129.8
0.135,135
0.1352,135.2
0.1368,136.8
