"avg_prop_infected","avg_num_infected"
0.0058,5.8
0.007,7
0.011,11
0.011,11
0.0126,12.6
0.0148,14.8
0.0154,15.4
0.0174,17.4
0.0176,17.6
0.0196,19.6
0.0198,19.8
0.0206,20.6
0.024,24
0.024,24
0.0258,25.8
0.0252,25.2
0.0276,27.6
0.0312,31.2
0.0314,31.4
0.0324,32.4
0.0358,35.8
0.0336,33.6
0.0332,33.2
0.0388,38.8
0.0382,38.2
0.0408,40.8
0.0392,39.2
0.0408,40.8
0.0428,42.8
0.0454,45.4
0.0518,51.8
0.0542,54.2
0.055,55
0.0552,55.2
0.057,57
0.0558,55.8
0.0608,60.8
0.0606,60.6
0.0626,62.6
0.0644,64.4
0.0658,65.8
0.063,63
0.0638,63.8
0.0682,68.2
0.0664,66.4
0.0692,69.2
0.0704,70.4
0.0712,71.2
0.0748,74.8
0.0772,77.2
0.0786,78.6
0.0786,78.6
0.0792,79.2
0.0772,77.2
0.075,75
0.081,81
0.0822,82.2
0.0834,83.4
0.0838,83.8
0.0876,87.6
0.0906,90.6
0.0908,90.8
0.0946,94.6
0.0936,93.6
0.0936,93.6
0.0982,98.2
0.099,99
0.0948,94.8
0.098,98
0.1036,103.6
0.1034,103.4
0.1056,105.6
0.1052,105.2
0.1046,104.6
0.11,110
0.1084,108.4
0.1094,109.4
0.1098,109.8
0.1112,111.2
0.1124,112.4
0.1096,109.6
0.11,110
0.1136,113.6
0.1154,115.4
0.1134,113.4
0.1166,116.6
0.1166,116.6
0.1194,119.4
0.12,120
0.1212,121.2
0.119,119
0.119,119
0.1198,119.8
0.1196,119.6
0.125,125
0.1284,128.4
0.1284,128.4
0.1318,131.8
0.1292,129.2
0.1262,126.2
