"avg_prop_infected","avg_num_infected"
0.145,145
0.1944,194.4
0.2494,249.4
0.2948,294.8
0.3484,348.4
0.3834,383.4
0.3994,399.4
0.4202,420.2
0.4312,431.2
0.4456,445.6
0.453,453
0.4556,455.6
0.458,458
0.4694,469.4
0.457,457
0.4554,455.4
0.4596,459.6
0.459,459
0.4652,465.2
0.463,463
0.4596,459.6
0.4614,461.4
0.4612,461.2
0.4624,462.4
0.4604,460.4
0.4712,471.2
0.4628,462.8
0.467,467
0.4642,464.2
0.4632,463.2
0.4604,460.4
0.4628,462.8
0.4608,460.8
0.4452,445.2
0.4468,446.8
0.464,464
0.464,464
0.4658,465.8
0.4652,465.2
0.4714,471.4
0.4776,477.6
0.471,471
0.474,474
0.4764,476.4
0.4822,482.2
0.4872,487.2
0.4802,480.2
0.4828,482.8
0.4734,473.4
0.4874,487.4
0.4862,486.2
0.4798,479.8
0.4796,479.6
0.4718,471.8
0.476,476
0.4782,478.2
0.483,483
0.4748,474.8
0.4688,468.8
0.4836,483.6
0.483,483
0.4678,467.8
0.4674,467.4
0.4638,463.8
0.4588,458.8
0.4672,467.2
0.4684,468.4
0.4696,469.6
0.4644,464.4
0.4744,474.4
0.4764,476.4
0.4798,479.8
0.468,468
0.4582,458.2
0.456,456
0.4674,467.4
0.4664,466.4
0.472,472
0.4658,465.8
0.4726,472.6
0.4702,470.2
0.4666,466.6
0.4754,475.4
0.4664,466.4
0.473,473
0.4796,479.6
0.4724,472.4
0.4738,473.8
0.4798,479.8
0.4712,471.2
0.4738,473.8
0.4676,467.6
0.4652,465.2
0.4754,475.4
0.4674,467.4
0.472,472
0.4758,475.8
0.4722,472.2
0.4752,475.2
0.477,477
