"avg_prop_infected","avg_num_infected"
0.1556,155.6
0.205,205
0.2474,247.4
0.2954,295.4
0.338,338
0.3714,371.4
0.4118,411.8
0.4284,428.4
0.4474,447.4
0.4532,453.2
0.4638,463.8
0.4578,457.8
0.4666,466.6
0.479,479
0.4732,473.2
0.4714,471.4
0.4682,468.2
0.4714,471.4
0.4778,477.8
0.4784,478.4
0.4856,485.6
0.481,481
0.4684,468.4
0.474,474
0.4814,481.4
0.4778,477.8
0.475,475
0.4746,474.6
0.4656,465.6
0.476,476
0.47,470
0.4752,475.2
0.4672,467.2
0.4772,477.2
0.4754,475.4
0.477,477
0.4762,476.2
0.471,471
0.4682,468.2
0.4668,466.8
0.477,477
0.4902,490.2
0.488,488
0.4806,480.6
0.4798,479.8
0.4782,478.2
0.4758,475.8
0.4728,472.8
0.4724,472.4
0.476,476
0.4688,468.8
0.469,469
0.4638,463.8
0.4692,469.2
0.4756,475.6
0.4846,484.6
0.4738,473.8
0.4618,461.8
0.4656,465.6
0.4702,470.2
0.4778,477.8
0.4728,472.8
0.4742,474.2
0.473,473
0.4746,474.6
0.4734,473.4
0.4782,478.2
0.4766,476.6
0.4752,475.2
0.4748,474.8
0.4808,480.8
0.4828,482.8
0.4768,476.8
0.4854,485.4
0.481,481
0.4766,476.6
0.4714,471.4
0.4684,468.4
0.471,471
0.4772,477.2
0.475,475
0.479,479
0.4798,479.8
0.4782,478.2
0.4784,478.4
0.478,478
0.4756,475.6
0.4708,470.8
0.4712,471.2
0.4678,467.8
0.4644,464.4
0.4832,483.2
0.4766,476.6
0.4794,479.4
0.4814,481.4
0.4678,467.8
0.476,476
0.4724,472.4
0.4794,479.4
0.4694,469.4
