"avg_prop_infected","avg_num_infected"
0.2014,201.4
0.4062,406.2
0.4724,472.4
0.4694,469.4
0.476,476
0.4864,486.4
0.4694,469.4
0.4722,472.2
0.4682,468.2
0.4828,482.8
0.4752,475.2
0.471,471
0.467,467
0.4792,479.2
0.4656,465.6
0.4682,468.2
0.4774,477.4
0.4608,460.8
0.4858,485.8
0.4812,481.2
0.481,481
0.4858,485.8
0.4892,489.2
0.4856,485.6
0.4808,480.8
0.484,484
0.481,481
0.4724,472.4
0.4766,476.6
0.4978,497.8
0.492,492
0.4774,477.4
0.4854,485.4
0.4868,486.8
0.4816,481.6
0.4728,472.8
0.4838,483.8
0.4938,493.8
0.477,477
0.4722,472.2
0.4746,474.6
0.4788,478.8
0.4812,481.2
0.4778,477.8
0.4744,474.4
0.4694,469.4
0.477,477
0.4734,473.4
0.4766,476.6
0.4732,473.2
0.475,475
0.4708,470.8
0.486,486
0.4718,471.8
0.4764,476.4
0.4814,481.4
0.4836,483.6
0.487,487
0.479,479
0.4736,473.6
0.4802,480.2
0.47,470
0.4672,467.2
0.4734,473.4
0.4814,481.4
0.4834,483.4
0.4734,473.4
0.4848,484.8
0.4796,479.6
0.4724,472.4
0.4674,467.4
0.4814,481.4
0.4738,473.8
0.4874,487.4
0.4828,482.8
0.474,474
0.4792,479.2
0.4854,485.4
0.4722,472.2
0.4776,477.6
0.4728,472.8
0.471,471
0.4622,462.2
0.4642,464.2
0.4848,484.8
0.4704,470.4
0.4764,476.4
0.47,470
0.472,472
0.4694,469.4
0.4736,473.6
0.4818,481.8
0.4898,489.8
0.4872,487.2
0.469,469
0.4664,466.4
0.473,473
0.4764,476.4
0.4774,477.4
0.4776,477.6
