"avg_prop_infected","avg_num_infected"
0.2132,213.2
0.407,407
0.4586,458.6
0.4714,471.4
0.4826,482.6
0.4798,479.8
0.4728,472.8
0.4832,483.2
0.4744,474.4
0.4932,493.2
0.4768,476.8
0.4636,463.6
0.4674,467.4
0.4634,463.4
0.4702,470.2
0.474,474
0.4876,487.6
0.4802,480.2
0.4878,487.8
0.4804,480.4
0.4724,472.4
0.4734,473.4
0.4786,478.6
0.4694,469.4
0.4768,476.8
0.472,472
0.4726,472.6
0.472,472
0.471,471
0.4846,484.6
0.4774,477.4
0.4842,484.2
0.4796,479.6
0.4696,469.6
0.49,490
0.4862,486.2
0.4834,483.4
0.4836,483.6
0.4676,467.6
0.4818,481.8
0.486,486
0.4786,478.6
0.4814,481.4
0.477,477
0.4758,475.8
0.4868,486.8
0.488,488
0.4822,482.2
0.4804,480.4
0.4732,473.2
0.4732,473.2
0.4806,480.6
0.466,466
0.4764,476.4
0.4844,484.4
0.4754,475.4
0.4808,480.8
0.468,468
0.469,469
0.4754,475.4
0.4766,476.6
0.4786,478.6
0.4778,477.8
0.471,471
0.4742,474.2
0.4702,470.2
0.4712,471.2
0.479,479
0.4838,483.8
0.4892,489.2
0.4726,472.6
0.4708,470.8
0.4742,474.2
0.473,473
0.4782,478.2
0.4798,479.8
0.4876,487.6
0.4818,481.8
0.4784,478.4
0.4788,478.8
0.4822,482.2
0.4794,479.4
0.478,478
0.4574,457.4
0.4696,469.6
0.4774,477.4
0.4816,481.6
0.4676,467.6
0.4706,470.6
0.4722,472.2
0.4842,484.2
0.4656,465.6
0.471,471
0.4734,473.4
0.4748,474.8
0.477,477
0.4758,475.8
0.4788,478.8
0.4718,471.8
0.4724,472.4
